CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2019;Ano2020
2900108;Abaíra;Chapada Diamantina;8739;8710
2900207;Abaré;Itaparica;20086;20347
2900306;Acajutiba;Litoral Norte e Agreste Baiano;15159;15187
2900355;Adustina;Semiárido Nordeste II;17040;17126
2900405;Água Fria;Portal do Sertão;16970;17033
2900504;Érico Cardoso;Bacia do Paramirim;10610;10560
2900603;Aiquara;Médio Rio de Contas;4446;4416
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;151596;152327
2900801;Alcobaça;Extremo Sul;22470;22490
2900900;Almadina;Litoral Sul;5464;5366
2901007;Amargosa;Vale do Jiquiriça;37241;37441
2901106;Amélia Rodrigues;Portal do Sertão;25102;25048
2901155;América Dourada;Irecê;16094;16090
2901205;Anagé;Sudoeste Baiano;22005;21607
2901304;Andaraí;Chapada Diamantina;13143;13132
2901353;Andorinha;Piemonte Norte do Itapicuru;14595;14503
2901403;Angical;Bacia do Rio Grande;13977;13938
2901502;Anguera;Portal do Sertão;11221;11297
2901601;Antas;Semiárido Nordeste II;19291;19479
2901700;Antônio Cardoso;Portal do Sertão;11683;11677
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;11798;11878
2901908;Aporá;Litoral Norte e Agreste Baiano;17731;17788
2901957;Apuarema;Médio Rio de Contas;7330;7302
2902005;Aracatu;Sudoeste Baiano;13135;13045
2902054;Araças;Litoral Norte e Agreste Baiano;12177;12208
2902104;Araci;Sisal;54379;54648
2902203;Aramari;Litoral Norte e Agreste Baiano;11397;11461
2902252;Arataca;Litoral Sul;11019;10961
2902302;Aratuípe;Baixo Sul;8825;8837
2902401;Aurelino Leal;Litoral Sul;11531;11299
2902500;Baianópolis;Bacia do Rio Grande;13877;13929
2902609;Baixa Grande;Bacia do Jacuípe;20468;20449
2902658;Banzaê;Semiárido Nordeste II;13229;13240
2902708;Barra;Velho Chico;53578;53910
2902807;Barra da Estiva;Chapada Diamantina;20598;20392
2902906;Barra do Choça;Sudoeste Baiano;31603;31209
2903003;Barra do Mendes;Irecê;13865;13833
2903102;Barra do Rocha;Médio Rio de Contas;5714;5612
2903201;Barreiras;Bacia do Rio Grande;155439;156975
2903235;Barro Alto;Irecê;14931;15054
2903276;Barrocas;Sisal;15978;16105
2903300;Governador Lomanto Júnior/Barro Preto;Litoral Sul;5591;5448
2903409;Belmonte;Costa do Descobrimento;23328;23437
2903508;Belo Campo;Sudoeste Baiano;17211;17109
2903607;Biritinga;Sisal;15979;15984
2903706;Boa Nova;Médio Rio de Contas;12633;12329
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;18576;18531
2903904;Bom Jesus da Lapa;Velho Chico;69148;69662
2903953;Bom Jesus da Serra;Sudoeste Baiano;9880;9823
2904001;Boninal;Chapada Diamantina;14368;14446
2904050;Bonito;Chapada Diamantina;16764;16884
2904100;Boquira;Bacia do Paramirim;21508;21497
2904209;Botuporã;Bacia do Paramirim;10211;10129
2904308;Brejões;Vale do Jiquiriça;14295;14222
2904407;Brejolândia;Bacia do Rio Corrente;10557;10618
2904506;Brotas de Macaúbas;Velho Chico;10231;10130
2904605;Brumado;Sertão Produtivo;67195;67335
2904704;Buerarema;Litoral Sul;18349;18306
2904753;Buritirama;Bacia do Rio Grande;21174;21276
2904803;Caatiba;Médio Sudoeste da Bahia;6758;6488
2904852;Cabaceiras do Paraguaçu;Recôncavo;18807;18911
2904902;Cachoeira;Recôncavo;33470;33567
2905008;Caculé;Sertão Produtivo;23170;23291
2905107;Caém;Piemonte da Diamantina;9213;9058
2905156;Caetanos;Sudoeste Baiano;14542;14608
2905206;Caetité;Sertão Produtivo;50975;51081
2905305;Cafarnaum;Irecê;18437;18513
2905404;Cairu;Baixo Sul;18176;18427
2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;13327;13391
2905602;Camacan;Litoral Sul;31988;32006
2905701;Camaçari;Metropolitano de Salvador;299132;304302
2905800;Camamu;Baixo Sul;35316;35382
2905909;Campo Alegre de Lourdes;Sertão do São Francisco;28798;28820
2906006;Campo Formoso;Piemonte Norte do Itapicuru;71206;71487
2906105;Canápolis;Bacia do Rio Corrente;9711;9703
2906204;Canarana;Irecê;26176;26325
2906303;Canavieiras;Litoral Sul;31099;30906
2906402;Candeal;Sisal;8258;8181
2906501;Candeias;Metropolitano de Salvador;87076;87458
2906600;Candiba;Sertão Produtivo;14319;14368
2906709;Cândido Sales;Sudoeste Baiano;25189;25053
2906808;Cansanção;Sisal;34834;34882
2906824;Canudos;Sertão do São Francisco;16668;16753
2906857;Capela do Alto Alegre;Bacia do Jacuípe;11637;11616
2906873;Capim Grosso;Bacia do Jacuípe;30662;30862
2906899;Caraíbas;Sudoeste Baiano;8951;8801
2906907;Caravelas;Extremo Sul;22016;22093
2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;9295;9346
2907103;Carinhanha;Velho Chico;29018;29070
2907202;Casa Nova;Sertão do São Francisco;71969;72545
2907301;Castro Alves;Recôncavo;26264;26318
2907400;Catolândia;Bacia do Rio Grande;3577;3599
2907509;Catu;Litoral Norte e Agreste Baiano;54704;54970
2907558;Caturama;Bacia do Paramirim;9329;9316
2907608;Central;Irecê;17266;17280
2907707;Chorrochó;Itaparica;11177;11200
2907806;Cícero Dantas;Semiárido Nordeste II;32515;32576
2907905;Cipó;Semiárido Nordeste II;17300;17352
2908002;Coaraci;Litoral Sul;16993;16549
2908101;Cocos;Bacia do Rio Corrente;18777;18807
2908200;Conceição da Feira;Portal do Sertão;22581;22762
2908309;Conceição do Almeida;Recôncavo;17247;17165
2908408;Conceição do Coité;Sisal;66612;67013
2908507;Conceição do Jacuípe;Portal do Sertão;33153;33398
2908606;Conde;Litoral Norte e Agreste Baiano;25837;26035
2908705;Condeúba;Sudoeste Baiano;17247;17178
2908804;Contendas do Sincorá;Sertão Produtivo;4066;4045
2908903;Coração de Maria;Portal do Sertão;22605;22495
2909000;Cordeiros;Sudoeste Baiano;8614;8642
2909109;Coribe;Bacia do Rio Corrente;14194;14149
2909208;Coronel João Sá;Semiárido Nordeste II;15895;15717
2909307;Correntina;Bacia do Rio Corrente;32137;32191
2909406;Cotegipe;Bacia do Rio Grande;13782;13769
2909505;Cravolândia;Vale do Jiquiriça;5349;5351
2909604;Crisópolis;Litoral Norte e Agreste Baiano;21103;21163
2909703;Cristópolis;Bacia do Rio Grande;13910;13947
2909802;Cruz das Almas;Recôncavo;63239;63591
2909901;Curaçá;Sertão do São Francisco;34700;34886
2910008;Dário Meira;Médio Rio de Contas;10710;10525
2910057;Dias d'Ávila;Metropolitano de Salvador;81089;82432
2910107;Dom Basílio;Sertão Produtivo;12199;12240
2910206;Dom Macedo Costa;Recôncavo;4058;4065
2910305;Elísio Medrado;Vale do Jiquiriça;8122;8126
2910404;Encruzilhada;Sudoeste Baiano;17006;16446
2910503;Entre Rios;Litoral Norte e Agreste Baiano;41780;41901
2910602;Esplanada;Litoral Norte e Agreste Baiano;37237;37578
2910701;Euclides da Cunha;Semiárido Nordeste II;60585;60858
2910727;Eunápolis;Costa do Descobrimento;113380;114396
2910750;Fátima;Semiárido Nordeste II;17890;17845
2910776;Feira da Mata;Velho Chico;5665;5661
2910800;Feira de Santana;Portal do Sertão;614872;619609
2910859;Filadélfia;Piemonte Norte do Itapicuru;16377;16345
2910909;Firmino Alves;Médio Sudoeste da Bahia;5617;5629
2911006;Floresta Azul;Litoral Sul;10629;10575
2911105;Formosa do Rio Preto;Bacia do Rio Grande;25591;25857
2911204;Gandu;Baixo Sul;32403;32596
2911253;Gavião;Bacia do Jacuípe;4463;4440
2911303;Gentio do Ouro;Irecê;11233;11259
2911402;Glória;Itaparica;15221;15234
2911501;Gongogi;Médio Rio de Contas;7128;6985
2911600;Governador Mangabeira;Recôncavo;20722;20762
2911659;Guajeru;Sudoeste Baiano;6937;6646
2911709;Guanambi;Sertão Produtivo;84481;84928
2911808;Guaratinga;Costa do Descobrimento;20843;20700
2911857;Heliópolis;Semiárido Nordeste II;13031;12987
2911907;Iaçu;Piemonte do Paraguaçu;24305;24121
2912004;Ibiassucê;Sertão Produtivo;9224;9031
2912103;Ibicaraí;Litoral Sul;21689;21378
2912202;Ibicoara;Chapada Diamantina;19571;19786
2912301;Ibicuí;Médio Sudoeste da Bahia;16198;16230
2912400;Ibipeba;Irecê;18211;18319
2912509;Ibipitanga;Bacia do Paramirim;14902;14947
2912608;Ibiquera;Piemonte do Paraguaçu;4044;4046
2912707;Ibirapitanga;Baixo Sul;23375;23404
2912806;Ibirapuã;Extremo Sul;8637;8690
2912905;Ibirataia;Médio Rio de Contas;15312;14882
2913002;Ibitiara;Chapada Diamantina;16339;16403
2913101;Ibititá;Irecê;17113;17080
2913200;Ibotirama;Velho Chico;26927;27003
2913309;Ichu;Sisal;6206;6220
2913408;Igaporã;Velho Chico;15640;15650
2913457;Igrapiúna;Baixo Sul;13226;13091
2913507;Iguaí;Médio Sudoeste da Bahia;26916;26963
2913606;Ilhéus;Litoral Sul;162327;159923
2913705;Inhambupe;Litoral Norte e Agreste Baiano;39926;40333
2913804;Ipecaetá;Portal do Sertão;14487;14354
2913903;Ipiaú;Médio Rio de Contas;45873;45922
2914000;Ipirá;Bacia do Jacuípe;59595;59435
2914109;Ipupiara;Irecê;9865;9911
2914208;Irajuba;Vale do Jiquiriça;7260;7279
2914307;Iramaia;Chapada Diamantina;8537;8197
2914406;Iraquara;Chapada Diamantina;25216;25478
2914505;Irará;Portal do Sertão;29034;29173
2914604;Irecê;Irecê;72967;73524
2914653;Itabela;Costa do Descobrimento;30584;30747
2914703;Itaberaba;Piemonte do Paraguaçu;64489;64646
2914802;Itabuna;Litoral Sul;213223;213685
2914901;Itacaré;Litoral Sul;28296;28684
2915007;Itaeté;Chapada Diamantina;16056;16110
2915106;Itagi;Médio Rio de Contas;12351;12242
2915205;Itagibá;Médio Rio de Contas;14579;14452
2915304;Itagimirim;Costa do Descobrimento;6869;6825
2915353;Itaguaçu da Bahia;Irecê;14429;14542
2915403;Itaju do Colônia;Litoral Sul;6682;6596
2915502;Itajuípe;Litoral Sul;20491;20398
2915601;Itamaraju;Extremo Sul;64486;64455
2915700;Itamari;Médio Rio de Contas;8035;8003
2915809;Itambé;Médio Sudoeste da Bahia;23049;22754
2915908;Itanagra;Litoral Norte e Agreste Baiano;6441;6436
2916005;Itanhém;Extremo Sul;19405;19316
2916104;Itaparica;Metropolitano de Salvador;22228;22337
2916203;Itapé;Litoral Sul;8761;8526
2916302;Itapebi;Costa do Descobrimento;10259;10215
2916401;Itapetinga;Médio Sudoeste da Bahia;76147;76795
2916500;Itapicuru;Litoral Norte e Agreste Baiano;35576;35883
2916609;Itapitanga;Litoral Sul;10313;10298
2916708;Itaquara;Vale do Jiquiriça;8319;8347
2916807;Itarantim;Médio Sudoeste da Bahia;19747;19843
2916856;Itatim;Piemonte do Paraguaçu;14487;14539
2916906;Itiruçu;Vale do Jiquiriça;12576;12528
2917003;Itiúba;Sisal;36089;36116
2917102;Itororó;Médio Sudoeste da Bahia;20382;20388
2917201;Ituaçu;Sertão Produtivo;18962;19030
2917300;Ituberá;Baixo Sul;28602;28740
2917334;Iuiú;Sertão Produtivo;10994;11016
2917359;Jaborandi;Bacia do Rio Corrente;8385;8277
2917409;Jacaraci;Sudoeste Baiano;14842;14850
2917508;Jacobina;Piemonte da Diamantina;80518;80635
2917607;Jaguaquara;Vale do Jiquiriça;54423;54673
2917706;Jaguarari;Piemonte Norte do Itapicuru;33570;33746
2917805;Jaguaripe;Baixo Sul;18788;18981
2917904;Jandaíra;Litoral Norte e Agreste Baiano;10709;10726
2918001;Jequié;Médio Rio de Contas;155966;156126
2918100;Jeremoabo;Semiárido Nordeste II;40463;40651
2918209;Jiquiriçá;Vale do Jiquiriça;14537;14557
2918308;Jitaúna;Médio Rio de Contas;11166;10808
2918357;João Dourado;Irecê;25188;25402
2918407;Juazeiro;Sertão do São Francisco;216707;218162
2918456;Jucuruçu;Extremo Sul;9126;8988
2918506;Jussara;Irecê;15284;15262
2918555;Jussari;Litoral Sul;5833;5768
2918605;Jussiape;Chapada Diamantina;6186;5976
2918704;Lafaiete Coutinho;Vale do Jiquiriça;3724;3693
2918753;Lagoa Real;Sertão Produtivo;15665;15770
2918803;Laje;Vale do Jiquiriça;23840;24032
2918902;Lajedão;Extremo Sul;3955;3975
2919009;Lajedinho;Piemonte do Paraguaçu;3783;3758
2919058;Lajedo do Tabocal;Vale do Jiquiriça;8562;8577
2919108;Lamarão;Sisal;8307;8191
2919157;Lapão;Irecê;27223;27274
2919207;Lauro de Freitas;Metropolitano de Salvador;198440;201635
2919306;Lençóis;Chapada Diamantina;11409;11499
2919405;Licínio de Almeida;Sudoeste Baiano;12388;12373
2919504;Livramento de Nossa Senhora;Sertão Produtivo;45732;46062
2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;87519;90162
2919603;Macajuba;Piemonte do Paraguaçu;11348;11332
2919702;Macarani;Médio Sudoeste da Bahia;18755;18909
2919801;Macaúbas;Bacia do Paramirim;49826;50161
2919900;Macururé;Itaparica;7824;7787
2919926;Madre de Deus;Metropolitano de Salvador;21093;21432
2919959;Maetinga;Sudoeste Baiano;3161;2764
2920007;Maiquinique;Médio Sudoeste da Bahia;10112;10206
2920106;Mairi;Bacia do Jacuípe;18676;18602
2920205;Malhada;Velho Chico;16845;16861
2920304;Malhada de Pedras;Sertão Produtivo;8393;8359
2920403;Manoel Vitorino;Médio Rio de Contas;13240;13087
2920452;Mansidão;Bacia do Rio Grande;13643;13734
2920502;Maracás;Vale do Jiquiriça;20834;20393
2920601;Maragogipe;Recôncavo;44677;44793
2920700;Maraú;Litoral Sul;20570;20617
2920809;Marcionílio Souza;Chapada Diamantina;10406;10380
2920908;Mascote;Litoral Sul;13822;13717
2921005;Mata de São João;Metropolitano de Salvador;46583;47126
2921054;Matina;Velho Chico;12201;12283
2921104;Medeiros Neto;Extremo Sul;22688;22716
2921203;Miguel Calmon;Piemonte da Diamantina;26023;25894
2921302;Milagres;Vale do Jiquiriça;10950;10893
2921401;Mirangaba;Piemonte da Diamantina;18338;18474
2921450;Mirante;Sudoeste Baiano;8641;8447
2921500;Monte Santo;Sisal;49418;49278
2921609;Morpará;Velho Chico;8519;8497
2921708;Morro do Chapéu;Chapada Diamantina;35413;35440
2921807;Mortugaba;Sudoeste Baiano;12042;12052
2921906;Mucugê;Chapada Diamantina;9062;8889
2922003;Mucuri;Extremo Sul;41748;42251
2922052;Mulungu do Morro;Irecê;10889;10673
2922102;Mundo Novo;Piemonte do Paraguaçu;26776;26970
2922201;Muniz Ferreira;Recôncavo;7422;7443
2922250;Muquém de São Francisco;Velho Chico;11348;11417
2922300;Muritiba;Recôncavo;29399;29410
2922409;Mutuípe;Vale do Jiquiriça;22221;22282
2922508;Nazaré;Recôncavo;28525;28594
2922607;Nilo Peçanha;Baixo Sul;13997;14079
2922656;Nordestina;Sisal;13130;13164
2922706;Nova Canaã;Médio Sudoeste da Bahia;16462;16472
2922730;Nova Fátima;Bacia do Jacuípe;7812;7821
2922755;Nova Ibiá;Médio Rio de Contas;6591;6554
2922805;Nova Itarana;Vale do Jiquiriça;8226;8279
2922854;Nova Redenção;Chapada Diamantina;9118;9123
2922904;Nova Soure;Semiárido Nordeste II;26947;26998
2923001;Nova Viçosa;Extremo Sul;43376;43783
2923035;Novo Horizonte;Chapada Diamantina;12385;12522
2923050;Novo Triunfo;Semiárido Nordeste II;15440;15443
2923100;Olindina;Litoral Norte e Agreste Baiano;28229;28304
2923209;Oliveira dos Brejinhos;Velho Chico;21825;21810
2923308;Ouriçangas;Litoral Norte e Agreste Baiano;8564;8570
2923357;Ourolândia;Piemonte da Diamantina;17451;17511
2923407;Palmas de Monte Alto;Sertão Produtivo;21750;21796
2923506;Palmeiras;Chapada Diamantina;9019;9071
2923605;Paramirim;Bacia do Paramirim;21607;21695
2923704;Paratinga;Velho Chico;32000;32141
2923803;Paripiranga;Semiárido Nordeste II;28989;29058
2923902;Pau Brasil;Litoral Sul;9831;9686
2924009;Paulo Afonso;Itaparica;117782;118516
2924058;Pé de Serra;Bacia do Jacuípe;13578;13556
2924108;Pedrão;Litoral Norte e Agreste Baiano;7347;7394
2924207;Pedro Alexandre;Semiárido Nordeste II;16667;16682
2924306;Piatã;Chapada Diamantina;17123;16984
2924405;Pilão Arcado;Sertão do São Francisco;35048;35175
2924504;Pindaí;Sertão Produtivo;16260;16285
2924603;Pindobaçu;Piemonte Norte do Itapicuru;20150;20098
2924652;Pintadas;Bacia do Jacuípe;10437;10394
2924678;Piraí do Norte;Baixo Sul;10023;10036
2924702;Piripá;Sudoeste Baiano;10707;10475
2924801;Piritiba;Piemonte do Paraguaçu;24755;24964
2924900;Planaltino;Vale do Jiquiriça;9322;9370
2925006;Planalto;Sudoeste Baiano;26265;26426
2925105;Poções;Sudoeste Baiano;46871;46879
2925204;Pojuca;Metropolitano de Salvador;39519;39972
2925253;Ponto Novo;Piemonte Norte do Itapicuru;14914;14819
2925303;Porto Seguro;Costa do Descobrimento;148686;150658
2925402;Potiraguá;Médio Sudoeste da Bahia;7224;6916
2925501;Prado;Extremo Sul;28174;28194
2925600;Presidente Dutra;Irecê;15142;15160
2925709;Presidente Jânio Quadros;Sudoeste Baiano;12338;12179
2925758;Presidente Tancredo Neves;Baixo Sul;27719;28004
2925808;Queimadas;Sisal;25439;25433
2925907;Quijingue;Sisal;27580;27626
2925931;Quixabeira;Bacia do Jacuípe;8972;8956
2925956;Rafael Jambeiro;Piemonte do Paraguaçu;22621;22633
2926004;Remanso;Sertão do São Francisco;41008;41170
2926103;Retirolândia;Sisal;14396;14495
2926202;Riachão das Neves;Bacia do Rio Grande;22339;22334
2926301;Riachão do Jacuípe;Bacia do Jacuípe;33436;33468
2926400;Riacho de Santana;Velho Chico;35421;35593
2926509;Ribeira do Amparo;Semiárido Nordeste II;14592;14612
2926608;Ribeira do Pombal;Semiárido Nordeste II;53807;53956
2926657;Ribeirão do Largo;Sudoeste Baiano;5812;5343
2926707;Rio de Contas;Chapada Diamantina;12989;12932
2926806;Rio do Antônio;Sertão Produtivo;15371;15448
2926905;Rio do Pires;Bacia do Paramirim;11655;11663
2927002;Rio Real;Litoral Norte e Agreste Baiano;40732;40976
2927101;Rodelas;Itaparica;9331;9442
2927200;Ruy Barbosa;Piemonte do Paraguaçu;30814;30857
2927309;Salinas da Margarida;Recôncavo;15667;15862
2927408;Salvador;Metropolitano de Salvador;2872347;2886698
2927507;Santa Bárbara;Portal do Sertão;20791;20883
2927606;Santa Brígida;Semiárido Nordeste II;14213;14063
2927705;Santa Cruz Cabrália;Costa do Descobrimento;27778;27922
2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;6315;6278
2927903;Santa Inês;Vale do Jiquiriça;10631;10606
2928000;Santaluz;Sisal;37348;37531
2928059;Santa Luzia;Litoral Sul;12597;12449
2928109;Santa Maria da Vitória;Bacia do Rio Corrente;39845;39775
2928208;Santana;Bacia do Rio Corrente;26614;26705
2928307;Santanópolis;Portal do Sertão;8943;8966
2928406;Santa Rita de Cássia;Bacia do Rio Grande;28338;28481
2928505;Santa Teresinha;Piemonte do Paraguaçu;10405;10464
2928604;Santo Amaro;Recôncavo;60069;60131
2928703;Santo Antônio de Jesus;Recôncavo;101512;102380
2928802;Santo Estêvão;Portal do Sertão;52850;53269
2928901;São Desidério;Bacia do Rio Grande;33742;34266
2928950;São Domingos;Sisal;9058;9072
2929008;São Félix;Recôncavo;14740;14762
2929057;São Félix do Coribe;Bacia do Rio Corrente;15391;15468
2929107;São Felipe;Recôncavo;21074;21080
2929206;São Francisco do Conde;Metropolitano de Salvador;39802;40245
2929255;São Gabriel;Irecê;18793;18789
2929305;São Gonçalo dos Campos;Portal do Sertão;37550;37942
2929354;São José da Vitória;Litoral Sul;5657;5608
2929370;São José do Jacuípe;Bacia do Jacuípe;10462;10505
2929404;São Miguel das Matas;Vale do Jiquiriça;11675;11704
2929503;São Sebastião do Passé;Metropolitano de Salvador;44300;44430
2929602;Sapeaçu;Recôncavo;17398;17409
2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;17273;17302
2929750;Saubara;Recôncavo;12043;12105
2929800;Saúde;Piemonte da Diamantina;12913;12943
2929909;Seabra;Chapada Diamantina;44091;44234
2930006;Sebastião Laranjeiras;Sertão Produtivo;11434;11512
2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;79015;79424
2930154;Serra do Ramalho;Velho Chico;31472;31416
2930204;Sento Sé;Sertão do São Francisco;40684;40989
2930303;Serra Dourada;Bacia do Rio Corrente;17386;17321
2930402;Serra Preta;Bacia do Jacuípe;14878;14699
2930501;Serrinha;Sisal;80861;81286
2930600;Serrolândia;Piemonte da Diamantina;13397;13446
2930709;Simões Filho;Metropolitano de Salvador;134377;135783
2930758;Sítio do Mato;Velho Chico;13012;13059
2930766;Sítio do Quinto;Semiárido Nordeste II;9986;9701
2930774;Sobradinho;Sertão do São Francisco;23191;23233
2930808;Souto Soares;Chapada Diamantina;16979;17050
2930907;Tabocas do Brejo Velho;Bacia do Rio Corrente;12518;12516
2931004;Tanhaçu;Sertão Produtivo;20403;20393
2931053;Tanque Novo;Sertão Produtivo;17366;17443
2931103;Tanquinho;Portal do Sertão;7918;7928
2931202;Taperoá;Baixo Sul;21074;21253
2931301;Tapiramutá;Piemonte do Paraguaçu;17010;16974
2931350;Teixeira de Freitas;Extremo Sul;160487;162438
2931400;Teodoro Sampaio;Portal do Sertão;7425;7359
2931509;Teofilândia;Sisal;22518;22555
2931608;Teolândia;Baixo Sul;14943;15022
2931707;Terra Nova;Portal do Sertão;13033;13025
2931806;Tremedal;Sudoeste Baiano;16394;16189
2931905;Tucano;Sisal;50687;50798
2932002;Uauá;Sertão do São Francisco;24240;24113
2932101;Ubaíra;Vale do Jiquiriça;19895;19877
2932200;Ubaitaba;Litoral Sul;19056;18847
2932309;Ubatã;Médio Rio de Contas;27035;27263
2932408;Uibaí;Irecê;13887;13891
2932457;Umburanas;Piemonte da Diamantina;19222;19402
2932507;Una;Litoral Sul;19002;18544
2932606;Urandi;Sertão Produtivo;16658;16665
2932705;Uruçuca;Litoral Sul;20519;20413
2932804;Utinga;Chapada Diamantina;19178;19256
2932903;Valença;Baixo Sul;96562;97233
2933000;Valente;Sisal;28473;28800
2933059;Várzea da Roça;Bacia do Jacuípe;14104;14121
2933109;Várzea do Poço;Bacia do Jacuípe;9170;9210
2933158;Várzea Nova;Piemonte da Diamantina;12697;12625
2933174;Varzedo;Recôncavo;8838;8785
2933208;Vera Cruz;Metropolitano de Salvador;43223;43716
2933257;Vereda;Extremo Sul;6205;6153
2933307;Vitória da Conquista;Sudoeste Baiano;338480;341128
2933406;Wagner;Chapada Diamantina;9345;9344
2933455;Wanderley;Bacia do Rio Grande;12238;12180
2933505;Wenceslau Guimarães;Baixo Sul;21101;20978
2933604;Xique-Xique;Irecê;46483;46523
