CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2922904;Nova Soure;Semiárido Nordeste II;24329;24348;24322;24267;24236;24207;25697;26666;26874;24202;24265;25725;25813;25854;25931;25460;24493;26947;26998
2923001;Nova Viçosa;Extremo Sul;32857;33445;34080;35414;36152;36868;34623;36032;36407;39054;39535;42265;42754;43216;43648;44052;42950;43376;43783
2923035;Novo Horizonte;Chapada Diamantina;8262;8148;7984;7639;7448;7263;10304;10860;11092;10840;11001;11786;12085;12238;12381;12514;12241;12385;12522
2923050;Novo Triunfo;Semiárido Nordeste II;13941;14129;14375;14891;15177;15454;14153;14666;14763;15059;15067;15943;15969;15993;16016;16037;15380;15440;15443
2923100;Olindina;Litoral Norte e Agreste Baiano;24176;24424;24663;25164;25442;25711;23791;24516;24557;25023;25100;26620;26722;26817;26907;29227;28152;28229;28304
2923209;Oliveira dos Brejinhos;Velho Chico;21748;21789;21844;21960;22024;22086;22609;23436;23596;21822;21813;22738;22756;22774;22789;22805;21838;21825;21810
2923308;Ouriçangas;Litoral Norte e Agreste Baiano;7579;7626;7673;7772;7827;7880;7802;8081;8131;8307;8316;8804;8822;8839;8895;8916;8557;8564;8570
2923357;Ourolândia;Piemonte da Diamantina;15737;16013;16317;16957;17311;17655;16302;16933;17080;16503;16578;17603;17691;17775;17954;18025;17389;17451;17511
2923407;Palmas de Monte Alto;Sertão Produtivo;20048;20019;19983;19905;19862;19821;21107;21896;22061;20836;20894;22260;22340;22416;22487;22553;21703;21750;21796
2923506;Palmeiras;Chapada Diamantina;6997;7597;7634;7711;7754;7795;8040;8358;8437;8479;8545;9122;9066;9130;9191;9250;8961;9019;9071
2923605;Paramirim;Bacia do Paramirim;18876;18843;18807;18732;18690;19243;20055;20756;20870;21115;21226;21838;21961;22077;22184;22286;21518;21607;21695
2923704;Paratinga;Velho Chico;28107;28415;28757;29474;29871;30255;28671;29693;29874;29682;29853;32258;32452;32636;32807;32967;31853;32000;32141
2923803;Paripiranga;Semiárido Nordeste II;26658;26710;26765;26880;26944;27006;28347;29459;29727;27870;27958;29654;29769;29878;29980;30075;28956;28989;29058
2923902;Pau Brasil;Litoral Sul;12664;12389;12083;11442;11086;10742;12155;12418;12342;10684;10479;11166;11031;10905;10784;10673;9981;9831;9686
2924009;Paulo Afonso;Itaparica;97632;98578;99543;101568;102689;103776;101952;105837;106703;109310;110193;117377;118323;119214;119930;120706;117014;117782;118516
2924058;Pé de Serra;Bacia do Jacuípe;13087;12791;12448;11727;11328;10941;14160;14683;14788;13729;13707;14478;14474;14471;14229;14226;13601;13578;13556
2924108;Pedrão;Litoral Norte e Agreste Baiano;6757;6754;6749;6739;6733;6728;7238;7525;7597;6936;6993;7450;7511;7568;7486;7527;7298;7347;7394
2924207;Pedro Alexandre;Semiárido Nordeste II;17268;17406;17616;18057;18301;18538;17092;17643;17698;17020;17045;18051;18094;18135;18173;18209;17486;16667;16682
2924306;Piatã;Chapada Diamantina;19063;19118;19183;19320;19396;19470;18085;18532;18470;17417;17257;18421;18584;18473;18366;18267;17269;17123;16984
2924405;Pilão Arcado;Sertão do São Francisco;30497;30453;30332;30079;29939;29803;32844;34144;34466;33021;33176;35237;35255;35428;35590;35740;34486;35048;35175
2924504;Pindaí;Sertão Produtivo;15342;15267;15161;14939;14817;14698;15306;15759;15772;15662;15695;16708;16758;16805;16849;16889;16234;16260;16285
2924603;Pindobaçu;Piemonte Norte do Itapicuru;20416;20200;19890;19238;18878;18528;20312;20873;20854;20064;20009;21113;21087;21062;21191;21171;20204;20150;20098
2924652;Pintadas;Bacia do Jacuípe;11259;11037;11088;11195;11254;11311;10551;10831;10812;10295;10250;10798;10769;10742;11036;11012;10482;10437;10394
2924678;Piraí do Norte;Baixo Sul;10028;9724;9398;8714;8336;7969;8897;8975;8818;9816;9833;10415;9777;10360;10386;10411;10007;10023;10036
2924702;Piripá;Sudoeste Baiano;16814;17330;17888;19059;19707;20335;13515;13597;13325;12506;12219;12678;12452;12238;12035;11849;10952;10707;10475
2924801;Piritiba;Piemonte do Paraguaçu;18372;17956;17454;16400;15817;15252;24189;25612;26265;22658;22907;24462;24785;25027;25002;25211;24538;24755;24964
2924900;Planaltino;Vale do Jiquiriçá;7669;7465;7233;6748;6479;6218;8472;8802;8880;8884;8944;9516;9413;9473;9529;9582;9272;9322;9370
2925006;Planalto;Sudoeste Baiano;21420;21324;21147;20774;20567;20367;21486;22127;22151;24694;24627;26225;26436;26632;26743;26915;26092;26265;26426
2925105;Poções;Sudoeste Baiano;44928;45555;46178;47486;48210;48911;44759;46224;46390;44723;45903;48576;48655;48729;48798;48861;46862;46871;46879
2925204;Pojuca;Metropolitano de Salvador;26617;26960;27323;28085;28506;28914;30221;31687;32225;33595;34106;36551;37061;37543;37993;39718;39045;39519;39972
2925253;Ponto Novo;Piemonte Norte do Itapicuru;17141;17190;17192;17195;17197;17199;14820;14974;14734;15632;15524;16321;16242;16168;15892;15830;15012;14914;14819
2925303;Porto Seguro;Costa do Descobrimento;103155;108568;114531;127048;133976;140692;114459;120460;122896;129325;131642;141006;143282;145431;147444;149324;146625;148686;150658
2925402;Potiraguá;Médio Sudoeste da Bahia;15060;15461;15870;16729;17204;17665;10350;10123;9656;9444;9360;9574;9263;8969;8694;8438;7549;7224;6916
2925501;Prado;Extremo Sul;26810;27311;27689;28481;28920;29345;25429;26082;26016;27661;27693;29095;29158;29218;29273;29326;28152;28174;28194
2925600;Presidente Dutra;Irecê;13775;13840;13891;13999;14058;14116;13822;14264;14306;13779;13807;14629;14672;14712;15699;15734;15121;15142;15160
2925709;Presidente Jânio Quadros;Sudoeste Baiano;17375;17659;17945;18543;18874;19196;14803;14039;14212;13484;12854;13442;13307;13178;13456;13334;12505;12338;12179
2925758;Presidente Tancredo Neves;Baixo Sul;19468;19587;19672;19850;19948;20044;22684;23817;24249;24187;24517;26238;27187;27505;27803;28082;27422;27719;28004
2925808;Queimadas;Sisal;24778;24918;25060;25357;25522;25682;27186;28368;28729;24602;24602;26023;26054;26083;26525;26552;25445;25439;25433
2925907;Quijingue;Sisal;26665;26885;27121;27617;27891;28157;27068;28001;28143;27294;27357;28996;29088;28093;28556;28632;27533;27580;27626
2925931;Quixabeira;Bacia do Jacuípe;8912;8527;8092;7177;6671;9298;9348;9624;9631;9534;9514;10045;10038;10033;9414;9411;8990;8972;8956
2925956;Rafael Jambeiro;Piemonte do Paraguaçu;22575;22606;22609;22614;22618;22621;23107;23893;24004;22896;22916;24258;24305;24349;23525;23562;22610;22621;22633
2926004;Remanso;Sertão do São Francisco;36473;36652;36835;37219;37432;37639;38004;39415;39705;39165;39365;41824;42056;42275;42481;42672;41200;41008;41170
2926103;Retirolândia;Sisal;10880;10805;10765;10681;10635;10590;11938;12446;11798;12170;12281;13092;13209;13319;14627;14730;14295;14396;14495
2926202;Riachão das Neves;Bacia do Rio Grande;22173;22261;22421;22756;22941;23121;22528;23309;23431;21939;21941;23209;23237;23264;23290;23313;22343;22339;22334
2926301;Riachão do Jacuípe;Bacia do Jacuípe;30865;30375;29792;28566;27888;27231;32522;33326;33666;33222;33271;35237;35322;35403;34715;34784;33403;33436;33468
2926400;Riacho de Santana;Velho Chico;28701;28934;29069;29353;29510;29662;29425;30444;30602;30840;31027;35586;35819;36039;36246;36439;35240;35421;35593
2926509;Ribeira do Amparo;Semiárido Nordeste II;13885;13895;13891;13883;13879;13874;14101;14566;14621;14305;14333;15186;15229;15269;15308;15443;14843;14592;14612
2926608;Ribeira do Pombal;Semiárido Nordeste II;46714;47061;47429;48200;48626;49040;47400;49024;49263;47701;47877;50805;51026;51418;54773;54965;52956;53807;53956
2926657;Ribeirão do Largo;Sudoeste Baiano;15412;16223;16650;17547;18043;18524;14297;14612;14528;8675;10432;9195;8713;8260;7835;7437;6304;5812;5343
2926707;Rio de Contas;Chapada Diamantina;13914;13907;13894;13710;13695;13680;13447;13823;13816;12948;12891;13592;13653;13616;13581;13712;13048;12989;12932
2926806;Rio do Antônio;Sertão Produtivo;14784;14914;15042;15312;15461;15606;15096;14926;15110;14917;15015;15427;15530;15628;15720;15804;15289;15371;15448
2926905;Rio do Pires;Bacia do Paramirim;12043;11991;11982;11963;11953;11943;11385;11659;11612;11933;11948;12033;12060;12084;12109;12130;11645;11655;11663
2927002;Rio Real;Litoral Norte e Agreste Baiano;33906;34412;34947;36070;36691;37294;36169;37675;38095;37464;37754;40203;40515;40809;41085;41767;40475;40732;40976
2927101;Rodelas;Itaparica;6475;6673;6864;7267;7489;7705;7023;7341;7446;7912;8045;8632;8763;8887;9297;9405;9213;9331;9442
2927200;Ruy Barbosa;Piemonte do Paraguaçu;28837;28810;28710;28500;28383;28270;29358;30316;30422;29950;30010;31799;31780;31867;31933;32009;30767;30814;30857
2927309;Salinas da Margarida;Recôncavo;10554;13154;13291;10960;11090;11215;13090;13850;14194;13693;13921;14937;15171;15385;15585;15772;15463;15667;15862
2927408;Salvador;Metropolitano de Salvador;2485702;2520504;2556429;2631831;2673560;2714018;2892625;2948733;2998056;2693606;2710968;2883682;2902927;2921087;2938092;2953986;2857329;2872347;2886698
2927507;Santa Bárbara;Portal do Sertão;18057;18178;18292;18531;18663;18791;19440;20242;20461;19180;19292;20509;20635;20754;21310;21415;20694;20791;20883
2927606;Santa Brígida;Semiárido Nordeste II;17532;17663;18016;18757;19167;19564;15483;15781;15652;14876;14698;15381;15237;15100;15091;14976;14088;14213;14063
2927705;Santa Cruz Cabrália;Costa do Descobrimento;26010;27539;29234;32791;34760;36669;25110;26051;26250;26447;26623;27854;28045;28226;28394;28552;27626;27778;27922
2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;7041;7103;7140;7216;7258;7299;6386;6502;6443;6630;6481;6808;6778;6750;6723;6698;6354;6315;6278
2927903;Santa Inês;Vale do Jiquiriçá;11139;11233;11329;11529;11640;11748;10564;10833;10803;10337;10312;10884;11186;11177;11169;11161;10656;10631;10606
2928000;Santaluz;Sisal;30967;31023;31054;31120;31156;31191;33633;35029;35416;34060;34274;36452;36690;36915;38219;38422;37158;37348;37531
2928059;Santa Luzia;Litoral Sul;15378;15331;15252;15084;14992;14902;15184;15615;15613;13182;13025;13710;13579;13626;13508;13398;12751;12597;12449
2928109;Santa Maria da Vitória;Bacia do Rio Corrente;41228;41205;41179;41124;41094;41064;40571;41745;41758;40236;40165;41824;41809;41795;41782;41769;39920;39845;39775
2928208;Santana;Bacia do Rio Corrente;24072;24027;23976;23867;23807;23749;25947;26990;27259;24871;24987;26998;27132;27260;27381;27492;26517;26614;26705
2928307;Santanópolis;Portal do Sertão;8551;8500;8433;8292;8214;8139;9199;9558;9643;8806;8835;9370;9407;9442;9232;9263;8920;8943;8966
2928406;Santa Rita de Cássia;Bacia do Rio Grande;24063;24191;24268;24429;24518;24605;26135;27224;27528;26425;26653;28349;28642;28822;28988;29146;28192;28338;28481
2928505;Santa Teresinha;Piemonte do Paraguaçu;8668;8661;8645;8612;8593;8575;9914;10382;10546;9722;9792;10423;10514;10586;10619;10682;10345;10405;10464
2928604;Santo Amaro;Recôncavo;58914;59309;59724;60597;61079;61547;58028;57675;58387;57891;57978;61407;61559;61702;61836;61961;59512;60069;60131
2928703;Santo Antônio de Jesus;Recôncavo;78937;80111;81384;84057;85536;86970;84256;87776;88768;92049;93077;99407;100550;101548;102469;103342;100605;101512;102380
2928802;Santo Estêvão;Portal do Sertão;41623;42016;42420;43268;43737;44193;44532;46360;46855;48397;48897;52186;52704;53193;53473;53898;52413;52850;53269
2928901;São Desidério;Bacia do Rio Grande;19010;19012;19015;19021;19024;19027;25158;26742;27513;28301;28921;31785;32078;32640;33168;33661;33193;33742;34266
2928950;São Domingos;Sisal;8306;8158;7987;7628;7430;7237;8818;9130;9730;9247;9266;9820;9849;9877;9381;9404;9042;9058;9072
2929008;São Félix;Recôncavo;13893;14018;14166;14477;14649;14816;15302;15987;16208;14129;14159;15004;15049;15091;15272;15310;14717;14740;14762
2929057;São Félix do Coribe;Bacia do Rio Corrente;11748;11725;11709;11677;11659;11642;12815;13352;13504;13147;13243;15443;15548;15647;15738;15825;15310;15391;15468
2929107;São Felipe;Recôncavo;20234;20253;20265;20290;20304;20317;20265;20902;20952;20317;20329;21513;21548;21582;21935;21964;21069;21074;21080
2929206;São Francisco do Conde;Metropolitano de Salvador;26941;27554;28144;29383;30069;30733;29829;31219;31699;33713;34226;36677;38838;39329;39790;40220;39338;39802;40245
2929255;São Gabriel;Irecê;18444;18523;18575;18683;18743;18801;18468;19050;19099;18429;18430;19495;19519;19542;19594;19613;18798;18793;18789
2929305;São Gonçalo dos Campos;Portal do Sertão;27308;27571;27835;28391;28699;28997;29205;30401;30724;33766;34232;36641;37111;37554;37634;38018;37139;37550;37942
2929354;São José da Vitória;Litoral Sul;5886;5672;5422;4898;4607;4326;6095;6270;6270;5662;5609;6202;6158;6118;6081;6045;5710;5657;5608
2929370;São José do Jacuípe;Bacia do Jacuípe;8635;8209;7734;6736;6184;5648;10477;10965;11134;10238;10293;10938;11002;11061;10735;10784;10417;10462;10505
2929404;São Miguel das Matas;Vale do Jiquiriçá;10086;10169;10238;10384;10464;10542;10270;10623;10675;10445;10474;11105;11963;12009;12051;12092;11645;11675;11704
2929503;São Sebastião do Passé;Metropolitano de Salvador;40297;40620;40926;41568;41924;42269;40321;41624;41758;42322;42485;45090;45292;45482;45660;45827;44164;44300;44430
2929602;Sapeaçu;Recôncavo;16603;16715;16838;17095;17238;17377;16518;17041;17087;16603;16619;17594;17630;17664;18083;18114;17387;17398;17409
2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;17587;18003;18351;19084;19489;19882;18104;18779;18919;19010;19054;20195;20259;20320;20376;20429;19644;17273;17302
2929750;Saubara;Recôncavo;10457;10651;10864;11310;11557;11796;11051;11507;11632;11279;11354;12078;12161;12238;12311;12380;11978;12043;12105
2929800;Saúde;Piemonte da Diamantina;11498;11509;11518;11539;11550;11561;11866;12284;12355;11884;11921;12644;12693;12739;13343;13385;12883;12913;12943
2929909;Seabra;Chapada Diamantina;39615;38308;38455;38764;38934;40573;40543;41952;42175;41984;42163;44765;44999;45202;45395;45568;43941;44091;44234
2930006;Sebastião Laranjeiras;Sertão Produtivo;9300;9324;9342;9382;9404;9425;10712;11231;11421;10469;10563;11336;11435;11528;11615;11696;11351;11434;11512
2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;65743;64420;62887;59669;57888;56161;72511;75393;76113;74937;75437;80258;80810;81330;80769;81218;78588;79015;79424
2930154;Serra do Ramalho;Velho Chico;32524;32481;32426;32311;32247;32185;31130;31909;31809;31581;31525;33034;33022;33011;33000;32991;31532;31472;31416
2930204;Sento Sé;Sertão do São Francisco;32774;33318;33716;34551;35013;35462;36517;38181;38735;37806;38174;40720;41102;41464;41576;41891;40703;40684;40989
2930303;Serra Dourada;Bacia do Rio Corrente;18073;18129;18182;18293;18355;18414;17422;17887;17858;18036;17963;18467;18428;18389;18352;18320;17452;17386;17321
2930402;Serra Preta;Bacia do Jacuípe;17707;17741;17748;17762;17770;17778;15149;15971;16168;15194;14993;15672;15507;15351;16171;16036;15064;14878;14699
2930501;Serrinha;Sisal;71715;72313;72913;74171;74868;75544;71383;73655;73859;77309;77211;82157;82733;83275;82621;83088;80411;80861;81286
2930600;Serrolândia;Piemonte da Diamantina;12707;12785;12864;11926;12011;12090;12120;12572;12665;12405;12464;13238;13308;13373;13774;13832;13347;13397;13446
2930709;Simões Filho;Metropolitano de Salvador;96601;98598;100702;105117;107561;109930;109269;114649;116662;119760;121416;129964;131630;133202;134674;136050;132906;134377;135783
2930758;Sítio do Mato;Velho Chico;12127;12394;12693;13318;13665;14001;12567;13064;13187;12107;12161;13188;13256;13320;13381;13437;12965;13012;13059
2930766;Sítio do Quinto;Semiárido Nordeste II;17636;18079;18565;19587;20152;20700;14069;14122;13811;12256;11930;12317;12034;11767;11517;11283;10316;9986;9701
2930774;Sobradinho;Sertão do São Francisco;21225;21350;21361;21385;21398;21411;21315;21978;22026;22056;22109;23435;23511;23583;23650;23713;22806;23191;23233
2930808;Souto Soares;Chapada Diamantina;14345;14046;13698;12968;12564;12172;18013;18992;19407;15986;16069;17073;17239;17332;17419;17503;16905;16979;17050
2930907;Tabocas do Brejo Velho;Bacia do Rio Corrente;12779;12901;13031;13305;13457;13604;12281;12620;12608;11432;11433;12990;13008;13025;13043;13057;12517;12518;12516
2931004;Tanhaçu;Sertão Produtivo;20251;20409;20578;20934;21130;21321;19591;20142;20134;20007;20001;21246;21264;21282;21299;21315;20416;20403;20393
2931053;Tanque Novo;Sertão Produtivo;15275;15570;15858;16463;16797;17122;15745;16338;16466;16228;16323;17493;17601;17702;17797;17884;17285;17366;17443
2931103;Tanquinho;Portal do Sertão;7107;6867;6591;6013;5693;5383;7589;7842;7875;8022;8035;8510;8532;8553;8214;8232;7909;7918;7928
2931202;Taperoá;Baixo Sul;16501;15699;15590;15362;15236;15113;18217;19081;19388;18965;19174;20474;20886;21091;21282;21462;20889;21074;21253
2931301;Tapiramutá;Piemonte do Paraguaçu;17566;17770;18099;18790;19172;19543;17254;17817;17879;16475;16434;17345;17413;17398;17855;17845;17046;17010;16974
2931350;Teixeira de Freitas;Extremo Sul;109908;112077;114208;118681;121156;123557;118702;123858;125430;140710;143001;153385;155659;157804;159813;161690;158445;160487;162438
2931400;Teodoro Sampaio;Portal do Sertão;8787;8733;8663;8516;8435;8356;8306;8490;8442;7820;7746;8125;8067;8013;7984;7936;7493;7425;7359
2931509;Teofilândia;Sisal;20295;20193;20081;19848;19719;19594;20702;21382;21461;21533;21581;22873;22944;23011;23319;23378;22479;22518;22555
2931608;Teolândia;Baixo Sul;12563;12601;12615;12643;12659;12674;12429;12798;12810;14941;14113;15016;15079;15178;15269;15357;14860;14943;15022
2931707;Terra Nova;Portal do Sertão;12939;13009;13071;13202;13274;13344;12310;12620;12583;12798;12793;13526;13537;13547;13527;13536;12965;13033;13025
2931806;Tremedal;Sudoeste Baiano;21122;21088;21036;20927;20866;20807;18483;18706;18433;16796;17750;18560;18367;18187;17854;17700;16608;16394;16189
2931905;Tucano;Sisal;51432;51859;52282;53170;53661;54137;48740;49972;49827;52579;52734;55923;56131;55777;52381;52540;50568;50687;50798
2932002;Uauá;Sertão do São Francisco;26180;26340;26501;26840;27027;27208;24662;25257;25159;24152;24015;25274;25178;25087;25853;25773;24486;24240;24113
2932101;Ubaíra;Vale do Jiquiriçá;20549;20550;20529;20485;20461;20437;20708;21368;21428;19728;20714;21897;20770;20782;20793;20800;19914;19895;19877
2932200;Ubaitaba;Litoral Sul;24205;24441;24714;25286;25603;25910;20478;20678;20333;20449;20214;21183;20993;20813;20646;20489;19275;19056;18847
2932309;Ubatã;Médio Rio de Contas;21267;20941;20541;19701;19236;18786;24791;25952;26355;25295;25575;27312;26787;27051;27297;27527;26795;27035;27263
2932408;Uibaí;Irecê;13646;13670;13697;13751;13782;13811;13719;14160;14203;13634;13642;14436;14460;14483;14454;14474;13884;13887;13891
2932457;Umburanas;Piemonte da Diamantina;14456;14687;14941;15474;15769;16055;16081;16834;17096;17220;17432;18635;18851;19055;19343;19522;19034;19222;19402
2932507;Una;Litoral Sul;32187;32840;33573;35111;35962;36788;25277;25287;24650;23542;22992;22989;22535;22105;21706;21331;19484;19002;18544
2932606;Urandi;Sertão Produtivo;16082;16097;16107;16128;16140;16151;15822;16282;16289;16480;16493;17239;17270;17301;17329;17356;16651;16658;16665
2932705;Uruçuca;Litoral Sul;19015;18126;17107;14967;13782;12634;22070;22984;23237;19738;19642;22004;21924;21849;21778;21711;20630;20519;20413
2932804;Utinga;Chapada Diamantina;16945;16856;16840;16807;16789;16772;19229;20132;20448;18272;18367;19516;19490;19593;19688;19780;19098;19178;19256
2932903;Valença;Baixo Sul;78745;79735;80768;82936;84136;85300;84931;88542;89597;89510;90319;96287;96507;97305;98053;98749;95858;96562;97233
2933000;Valente;Sisal;19288;19422;19550;19820;19969;20114;21512;22489;22295;24958;25342;27162;27545;27906;28426;28743;28130;28473;28800
2933059;Várzea da Roça;Bacia do Jacuípe;13649;13672;13690;13728;13749;13769;14479;15040;15171;13811;13834;14654;14693;14729;14632;14662;14087;14104;14121
2933109;Várzea do Poço;Bacia do Jacuípe;7256;7069;6863;7045;6830;6624;8569;8908;8992;8711;8759;9309;9364;9416;9404;9449;9130;9170;9210
2933158;Várzea Nova;Piemonte da Diamantina;13782;13525;13233;12620;12281;11952;13949;14357;14365;12991;12910;13581;13524;13470;13500;13454;12772;12697;12625
2933174;Varzedo;Recôncavo;8669;8675;8676;8679;8680;8681;9054;9386;9451;9047;8987;9449;9405;9363;9409;9375;8895;8838;8785
2933208;Vera Cruz;Metropolitano de Salvador;30647;31352;32096;33656;34520;35358;35060;36843;37539;38168;38748;41524;42103;42650;43162;43640;42706;43223;43716
2933257;Vereda;Extremo Sul;7267;7142;6999;6699;6533;6372;7174;7361;7346;6740;6681;6781;6737;6696;6657;6620;6258;6205;6153
2933307;Vitória da Conquista;Sudoeste Baiano;267189;270364;274016;281684;285927;290042;308204;313898;318901;310129;315884;336987;340199;343230;346069;348718;338885;338480;341128
2933406;Wagner;Chapada Diamantina;9095;9216;9328;9562;9691;9817;8610;8830;8807;8984;8985;9504;9720;9731;9743;9753;9347;9345;9344
2933455;Wanderley;Bacia do Rio Grande;13675;13652;13653;13655;13657;13658;12982;13300;13252;12420;12356;13089;13047;13008;12971;12935;12299;12238;12180
2933505;Wenceslau Guimarães;Baixo Sul;25044;25462;26175;27672;28501;29304;23985;24740;24802;22047;21910;23046;22621;22530;22445;22365;21228;21101;20978
2933604;Xique-Xique;Irecê;45110;45632;46057;46947;47440;47918;45700;47251;47470;45599;45660;48100;48210;48316;48274;48365;46440;46483;46523
