CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2900108;Abaíra;Chapada Diamantina;1991;73,7;4,2;;21,5;;0,6
2900207;Abaré;Itaparica;1991;16,4;6,1;;77,1;0,2;0,2
2900306;Acajutiba;Litoral Norte e Agreste Baiano;1991;12,9;7,1;;80;;0,1
2900355;Adustina;Semiárido Nordeste II;1991;5,7;1,2;;92,2;;0,9
2900405;Água Fria;Portal do Sertão;1991;6,5;6,7;;86,8;;0
2900603;Aiquara;Médio Rio de Contas;1991;4,9;6,1;0,3;77,2;;11,5
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;1991;16,8;14;0;68,9;0;0,2
2900801;Alcobaça;Extremo Sul;1991;8,2;14,9;2,6;71,9;0,1;2,3
2900900;Almadina;Litoral Sul;1991;20,1;11,2;;68,4;;0,3
2901007;Amargosa;Vale do Jiquiriçá;1991;22,3;16;0;61,5;0;0,2
2901106;Amélia Rodrigues;Portal do Sertão;1991;4,2;16,7;;78,7;;0,4
2901155;América Dourada;Irecê;1991;17,6;14,1;0,1;67,6;;0,6
2901205;Anagé;Sudoeste Baiano;1991;28,4;2;;68,9;;0,8
2901304;Andaraí;Chapada Diamantina;1991;5,6;16,7;0,1;77;0;0,6
2901353;Andorinha;Piemonte Norte do Itapicuru;1991;18,7;1,1;;80,2;0;
2901403;Angical;Bacia do Rio Grande;1991;19,7;2,6;0;76,4;0;1,2
2901502;Anguera;Portal do Sertão;1991;7,8;8,4;0,1;83,2;0,4;0,1
2901601;Antas;Semiárido Nordeste II;1991;35,4;2,9;;60,8;0,1;0,8
2901700;Antônio Cardoso;Portal do Sertão;1991;9;23,9;;66,4;;0,8
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;1991;14,2;3;;82,6;;0,2
2901908;Aporá;Litoral Norte e Agreste Baiano;1991;16,8;7,7;0,1;74,9;0,3;0,3
2901957;Apuarema;Médio Rio de Contas;1991;13;10,1;;76,4;;0,5
2902054;Araçás;Litoral Norte e Agreste Baiano;1991;5,8;17,2;0,1;76,9;;
2902005;Aracatu;Sudoeste Baiano;1991;53,6;5,6;;40,5;;0,3
2902104;Araci;Sisal;1991;17;6,2;;76,2;;0,6
2902203;Aramari;Litoral Norte e Agreste Baiano;1991;4,5;34,2;0,3;59,7;;1,3
2902252;Arataca;Litoral Sul;1991;7,6;6;0,1;84,9;0,2;1,2
2902302;Aratuípe;Baixo Sul;1991;4,3;16,4;;78,9;;0,4
2902401;Aurelino Leal;Litoral Sul;1991;9,4;9;;80,8;;0,7
2902500;Baianópolis;Bacia do Rio Grande;1991;31,4;2,6;;65,9;;0,1
2902609;Baixa Grande;Bacia do Jacuípe;1991;12,3;7,6;0,1;79,3;;0,6
2902658;Banzaê;Semiárido Nordeste II;1991;33;2,8;;54,3;9,8;0,1
2902708;Barra;Velho Chico;1991;10,4;11,9;0;77,2;0;0,5
2902807;Barra da Estiva;Chapada Diamantina;1991;29,3;9,7;0,7;58,9;0,1;1,3
2902906;Barra do Choça;Sudoeste Baiano;1991;24,6;5;;69,7;;0,7
2903003;Barra do Mendes;Irecê;1991;36;4,4;;59,5;;0,1
2903102;Barra do Rocha;Médio Rio de Contas;1991;8,5;10,9;0;80,5;;0,1
2903201;Barreiras;Bacia do Rio Grande;1991;28,8;5,2;0,1;65,5;0;0,5
2903235;Barro Alto;Irecê;1991;27,4;1,9;;70,2;;0,4
2903300;Barro Preto/Lomanto Junior;Litoral Sul;1991;14,3;6,7;0,4;78;0,4;0,1
2903276;Barrocas;Sisal;1991;;;;;;
2903409;Belmonte;Costa do Descobrimento;1991;11,5;8,9;0,1;79;;0,6
2903508;Belo Campo;Sudoeste Baiano;1991;24,8;3,9;;71;;0,4
2903607;Biritinga;Sisal;1991;6,5;9,4;0,1;83,7;;0,3
2903706;Boa Nova;Médio Rio de Contas;1991;9,1;5,1;0,1;84,7;0,6;0,5
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;1991;13,2;6,6;;79,4;0,2;0,6
2903904;Bom Jesus da Lapa;Velho Chico;1991;21;9,6;0,2;69;0;0,1
2903953;Bom Jesus da Serra;Sudoeste Baiano;1991;19,7;7,2;;73,1;;0
2904001;Boninal;Chapada Diamantina;1991;21,7;12,6;0;65,1;;0,6
2904050;Bonito;Chapada Diamantina;1991;21,9;7,1;;71;;
2904100;Boquira;Bacia do Paramirim;1991;28,7;3,2;;68;;0,1
2904209;Botuporã;Bacia do Paramirim;1991;14;8;0,2;77;;0,8
2904308;Brejões;Vale do Jiquiriçá;1991;8,3;7,1;0;84,6;;
2904407;Brejolândia;Bacia do Rio Corrente;1991;30,8;5;;64,1;;0,2
2904506;Brotas de Macaúbas;Velho Chico;1991;15,8;2,4;;81,4;;0,4
2904605;Brumado;Sertão Produtivo;1991;45,4;6,6;;47,3;0;0,6
2904704;Buerarema;Litoral Sul;1991;12,7;4,8;;82,4;0;0,1
2904753;Buritirama;Bacia do Rio Grande;1991;17,5;2,9;0,2;78,1;0,1;1,2
2904803;Caatiba;Médio Sudoeste da Bahia;1991;24,7;6,3;;68,5;0,1;0,4
2904852;Cabaceiras do Paraguaçu;Recôncavo;1991;6,7;29,9;;62,2;;1,2
2904902;Cachoeira;Recôncavo;1991;6,9;20,5;;72,4;;0,2
2905008;Caculé;Sertão Produtivo;1991;35;4,7;0,1;60;;0,3
2905107;Caém;Piemonte da Diamantina;1991;7,4;9,3;;82,4;;0,9
2905156;Caetanos;Sudoeste Baiano;1991;50,9;0,6;;48,4;;0,1
2905206;Caetité;Sertão Produtivo;1991;40,7;9,3;;49,8;;0,3
2905305;Cafarnaum;Irecê;1991;16,2;9,4;0,1;74,3;;0,1
2905404;Cairu;Baixo Sul;1991;3,7;8,5;;87,5;0,1;0,2
2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;1991;20,3;5,5;;73,7;;0,5
2905602;Camacan;Litoral Sul;1991;6,8;8,9;0,1;82,9;0,1;1,3
2905701;Camaçari;Metropolitano de Salvador;1991;12,7;11,3;0,2;75;0,1;0,8
2905800;Camamu;Baixo Sul;1991;15,5;19,7;0,5;63,8;0,2;0,2
2905909;Campo Alegre de Lourdes;Sertão do São Francisco;1991;27,5;6,8;;65,5;;0,3
2906006;Campo Formoso;Piemonte Norte do Itapicuru;1991;17,9;5,4;0,1;76,5;0;0
2906105;Canápolis;Bacia do Rio Corrente;1991;53,8;4,4;;41,8;;0,1
2906204;Canarana;Irecê;1991;23,1;7,3;0,1;69,5;;
2906303;Canavieiras;Litoral Sul;1991;11,8;11,6;0,1;76,1;0;0,4
2906402;Candeal;Sisal;1991;11,3;12,4;;75,6;;0,6
2906501;Candeias;Metropolitano de Salvador;1991;6,4;13,3;0,1;79,3;0,1;0,7
2906600;Candiba;Sertão Produtivo;1991;42,8;14;0,1;43,1;;0
2906709;Cândido Sales;Sudoeste Baiano;1991;29,2;6,9;0;63,6;;0,3
2906808;Cansanção;Sisal;1991;16;2,6;0;81,3;;0,1
2906824;Canudos;Sertão do São Francisco;1991;8;1,4;;89,7;;0,8
2906857;Capela do Alto Alegre;Bacia do Jacuípe;1991;23,1;6,8;;70;;0,1
2906873;Capim Grosso;Bacia do Jacuípe;1991;39,1;7,1;0,1;53,7;;0,1
2906899;Caraíbas;Sudoeste Baiano;1991;46,1;2;;51,6;;0,3
2906907;Caravelas;Extremo Sul;1991;14,4;11,2;0,1;73,1;0,2;1
2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;1991;16,7;18,1;;64,5;;0,7
2907103;Carinhanha;Velho Chico;1991;21,1;9,1;0,2;69,5;0,1;0
2907202;Casa Nova;Sertão do São Francisco;1991;28,3;8,1;0,6;62,7;0;0,3
2907301;Castro Alves;Recôncavo;1991;11,5;17,8;;70,3;;0,4
2907400;Catolândia;Bacia do Rio Grande;1991;24,7;7,1;;68,3;;
2907509;Catu;Litoral Norte e Agreste Baiano;1991;6,9;17,2;0;75;0,1;0,7
2907558;Caturama;Bacia do Paramirim;1991;67,7;9;;22;;1,3
2907608;Central;Irecê;1991;42,4;10,1;;46,9;;0,6
2907707;Chorrochó;Itaparica;1991;11,2;4,7;0,1;83,1;;0,9
2907806;Cícero Dantas;Semiárido Nordeste II;1991;48,9;6,1;;44,1;0,6;0,3
2907905;Cipó;Semiárido Nordeste II;1991;22,1;7,6;;69,8;;0,5
2908002;Coaraci;Litoral Sul;1991;19,8;4,9;0,4;72,4;0;2,5
2908101;Côcos;Bacia do Rio Corrente;1991;53,5;2,4;;44;;
2908200;Conceição da Feira;Portal do Sertão;1991;11,7;27,7;0,1;60,4;;0,1
2908309;Conceição do Almeida;Recôncavo;1991;12,6;23,9;1;61,9;0;0,6
2908408;Conceição do Coité;Sisal;1991;26;4,7;;69,1;0;0,1
2908507;Conceição do Jacuípe;Portal do Sertão;1991;5,4;17,1;0;77,3;0,2;0
2908606;Conde;Litoral Norte e Agreste Baiano;1991;13,2;14,5;;71;;1,4
2908705;Condeúba;Sudoeste Baiano;1991;34,5;6,8;;58,5;;0,1
2908804;Contendas do Sincorá;Sertão Produtivo;1991;14,1;6,8;;78,7;;0,4
2908903;Coração de Maria;Portal do Sertão;1991;9,1;18,8;0,1;72;;0
2909000;Cordeiros;Sudoeste Baiano;1991;21,2;3,4;;75,3;;0,1
2909109;Coribe;Bacia do Rio Corrente;1991;35,9;7,3;0,1;55,8;0,1;0,8
2909208;Coronel João Sá;Semiárido Nordeste II;1991;16,6;4,4;;78,5;;0,5
2909307;Correntina;Bacia do Rio Corrente;1991;24,2;4,2;0;71,5;;0
2909406;Cotegipe;Bacia do Rio Grande;1991;19,7;8,4;0;71,8;;
2909505;Cravolândia;Vale do Jiquiriçá;1991;16;6;;76,8;0;1,2
2909604;Crisópolis;Litoral Norte e Agreste Baiano;1991;15,6;1,7;;82,4;0;0,3
2909703;Cristópolis;Bacia do Rio Grande;1991;16,2;2,2;;81,5;0,1;
2909802;Cruz das Almas;Recôncavo;1991;12,4;23,3;0,1;63,8;0,1;0,3
2909901;Curaçá;Sertão do São Francisco;1991;12;5,8;;81,5;0;0,7
2910008;Dário Meira;Médio Rio de Contas;1991;17,2;13,7;;68,7;;0,3
2910057;Dias D'Ávila;Metropolitano de Salvador;1991;15,3;13,1;0,2;71,1;0,1;0,2
2910107;Dom Basílio;Sertão Produtivo;1991;30,5;1,8;0;67,6;0,1;
2910206;Dom Macedo Costa;Recôncavo;1991;15,4;20,2;;64,4;;
2910305;Elísio Medrado;Vale do Jiquiriçá;1991;28,7;10,1;;60,9;;0,3
2910404;Encruzilhada;Sudoeste Baiano;1991;22;3,9;0,1;73,2;;0,8
2910503;Entre Rios;Litoral Norte e Agreste Baiano;1991;8,6;30,1;0,2;60,5;;0,6
2900504;Érico Cardoso;Bacia do Paramirim;1991;37,2;26,2;0,1;36,1;;0,3
2910602;Esplanada;Litoral Norte e Agreste Baiano;1991;14,8;16,3;0;68,3;0,1;0,5
2910701;Euclides da Cunha;Semiárido Nordeste II;1991;19;2,2;0;78,4;0,3;0,1
2910727;Eunápolis;Costa do Descobrimento;1991;22,4;4,4;0;72,2;0,5;0,5
2910750;Fátima;Semiárido Nordeste II;1991;41,9;1,8;0;56;;0,3
2910776;Feira da Mata;Velho Chico;1991;51,9;3;;45,1;;
2910800;Feira de Santana;Portal do Sertão;1991;17,7;14,1;0,1;67,7;0,1;0,3
2910859;Filadélfia;Piemonte Norte do Itapicuru;1991;6,4;1,7;0;91,5;;0,3
2910909;Firmino Alves;Médio Sudoeste da Bahia;1991;29;6,3;0,1;63,4;0;1,1
2911006;Floresta Azul;Litoral Sul;1991;18,4;6,1;0,2;75,2;;0,2
2911105;Formosa do Rio Preto;Bacia do Rio Grande;1991;21,1;5,4;0,1;72,8;;0,5
2911204;Gandu;Baixo Sul;1991;20,2;11,2;0;68,5;0,1;0,1
2911253;Gavião;Bacia do Jacuípe;1991;24;10,1;;59,9;0,9;5
2911303;Gentio do Ouro;Irecê;1991;22,4;2,3;;73;;2,4
2911402;Glória;Itaparica;1991;35,1;1,2;;56,6;6,5;0,6
2911501;Gongogi;Médio Rio de Contas;1991;6,6;8,8;0;84,6;;
2911600;Governador Mangabeira;Recôncavo;1991;6,3;28,7;;64,9;0;0,1
2911659;Guajeru;Sudoeste Baiano;1991;25,8;3,3;0,1;70,6;0;0,1
2911709;Guanambi;Sertão Produtivo;1991;42,7;9,6;0;47,4;0;0,3
2911808;Guaratinga;Costa do Descobrimento;1991;20,9;8,2;0,1;69,5;0,1;1,1
2911857;Heliópolis;Semiárido Nordeste II;1991;33,3;3,3;0;62,3;;1,1
2911907;Iaçu;Piemonte do Paraguaçu;1991;15;11,4;;73,3;;0,3
2912004;Ibiassucê;Sertão Produtivo;1991;39,2;5,5;;54,7;;0,6
2912103;Ibicaraí;Litoral Sul;1991;12,5;6,6;0;80,4;0,3;0,2
2912202;Ibicoara;Chapada Diamantina;1991;29,1;6,3;0;64,4;;0,1
2912301;Ibicuí;Médio Sudoeste da Bahia;1991;27,7;5,3;;65;0,1;2
2912400;Ibipeba;Irecê;1991;14,7;13,8;;70,5;;1
2912509;Ibipitanga;Bacia do Paramirim;1991;46,9;3;0;49,4;;0,7
2912608;Ibiquera;Piemonte do Paraguaçu;1991;4,5;3;;91,7;;0,9
2912707;Ibirapitanga;Baixo Sul;1991;8,8;15,6;0,2;73,7;;1,7
2912806;Ibirapoã;Extremo Sul;1991;19,6;8,3;;71,5;0,5;0
2912905;Ibirataia;Médio Rio de Contas;1991;13,4;12,4;0;74,2;;0
2913002;Ibitiara;Chapada Diamantina;1991;10,8;6,2;;82,7;;0,4
2913101;Ibititá;Irecê;1991;32,9;7;0;59,7;;0,4
2913200;Ibotirama;Velho Chico;1991;13,9;9;0,1;74,9;1,7;0,4
2913309;Ichu;Sisal;1991;30,1;25,1;;44,6;;0,3
2913408;Igaporã;Velho Chico;1991;58,3;12,1;;29,4;;0,3
2913457;Igrapiúna;Baixo Sul;1991;1,4;30,4;;67,7;0;0,5
2913507;Iguaí;Médio Sudoeste da Bahia;1991;30,6;10;;59,1;;0,3
2913606;Ilhéus;Litoral Sul;1991;14,7;7,6;0,1;77,3;0,1;0,2
2913705;Inhambupe;Litoral Norte e Agreste Baiano;1991;7,5;8,6;;83,1;;0,8
2913804;Ipecaetá;Portal do Sertão;1991;19,6;7,7;0,1;72,5;;0,1
2913903;Ipiaú;Médio Rio de Contas;1991;15;10,5;;73,8;;0,7
2914000;Ipirá;Bacia do Jacuípe;1991;19,3;10,5;0;70;;0,2
2914109;Ipupiara;Irecê;1991;55,8;2,9;;41,3;;0,1
2914208;Irajuba;Vale do Jiquiriçá;1991;19,9;5,7;;73,5;0,1;0,9
2914307;Iramaia;Chapada Diamantina;1991;8,5;10,4;;79;0,3;1,7
2914406;Iraquara;Chapada Diamantina;1991;24,2;10;;65,8;;
2914505;Irará;Portal do Sertão;1991;6;16,4;0;77,5;0,1;0,1
2914604;Irecê;Irecê;1991;26,6;4,2;;68,8;0,1;0,4
2914653;Itabela;Costa do Descobrimento;1991;18,3;3,6;;77,8;0,2;0,1
2914703;Itaberaba;Piemonte do Paraguaçu;1991;15,8;6,1;0,3;77,4;;0,5
2914802;Itabuna;Litoral Sul;1991;17,2;8,9;0,1;73,2;0;0,5
2914901;Itacaré;Litoral Sul;1991;5,5;15,9;0;77,4;0,1;1,2
2915007;Itaeté;Chapada Diamantina;1991;8;12,8;0,1;78,8;;0,3
2915106;Itagi;Médio Rio de Contas;1991;16,5;7,8;0,1;74,7;0,1;0,8
2915205;Itagibá;Médio Rio de Contas;1991;16,4;9,4;0,1;74;;0,1
2915304;Itagimirim;Costa do Descobrimento;1991;16,1;4,2;;79,3;;0,4
2915353;Itaguaçu da Bahia;Irecê;1991;21,7;14,5;0,1;63,3;0,2;0,2
2915403;Itaju do Colônia;Litoral Sul;1991;20,7;9,6;0,1;69,1;0,2;0,3
2915502;Itajuípe;Litoral Sul;1991;13,3;7,4;0;78;;1,2
2915601;Itamaraju;Extremo Sul;1991;14,8;5,3;0,1;79,3;0,2;0,3
2915700;Itamari;Médio Rio de Contas;1991;15,5;10,4;;73,9;0;0,2
2915809;Itambé;Médio Sudoeste da Bahia;1991;25,2;9,6;0,2;64,2;;0,8
2915908;Itanagra;Litoral Norte e Agreste Baiano;1991;2,8;3,6;0,1;91,9;0,2;1,4
2916005;Itanhém;Extremo Sul;1991;19,8;3,7;;76,2;0;0,3
2916104;Itaparica;Metropolitano de Salvador;1991;9;12,9;0,2;75,4;0,4;2,1
2916203;Itapé;Litoral Sul;1991;10,5;9,4;;79,6;;0,5
2916302;Itapebi;Costa do Descobrimento;1991;14,4;2,2;;82,2;0,3;1
2916401;Itapetinga;Médio Sudoeste da Bahia;1991;27;6,7;;65,5;0,1;0,6
2916500;Itapicuru;Litoral Norte e Agreste Baiano;1991;6,3;7,4;;84,3;;2
2916609;Itapitanga;Litoral Sul;1991;12,4;6,3;;81,1;0;0,1
2916708;Itaquara;Vale do Jiquiriçá;1991;19,3;8,8;;71,9;;0,1
2916807;Itarantim;Médio Sudoeste da Bahia;1991;28;12,1;0,5;58,7;0,1;0,7
2916856;Itatim;Piemonte do Paraguaçu;1991;14,1;3,3;0,1;82;;0,5
2916906;Itiruçu;Vale do Jiquiriçá;1991;22,8;3,1;0,3;72,8;0,6;0,4
2917003;Itiúba;Sisal;1991;11,9;1,7;;86,3;0;0,1
2917102;Itororó;Médio Sudoeste da Bahia;1991;16,6;6,6;;76,5;;0,2
2917201;Ituaçu;Sertão Produtivo;1991;50;6;;43,9;;0,1
2917300;Ituberá;Baixo Sul;1991;11,4;26,8;0,3;60,6;;0,9
2917334;Iuiu;Sertão Produtivo;1991;18,2;12,6;0;68,7;0,1;0,3
2917359;Jaborandi;Bacia do Rio Corrente;1991;0,3;1,6;0,2;96,6;;1,3
2917409;Jacaraci;Sudoeste Baiano;1991;56,3;6,9;;36,7;;0,1
2917508;Jacobina;Piemonte da Diamantina;1991;16,9;8;0;74,9;0;0,3
2917607;Jaguaquara;Vale do Jiquiriçá;1991;25,5;9,6;0,1;63,6;0,7;0,6
2917706;Jaguarari;Piemonte Norte do Itapicuru;1991;20,3;1,2;0;77,6;0;0,9
2917805;Jaguaripe;Baixo Sul;1991;9,5;21,9;0,3;68,1;;0,2
2917904;Jandaíra;Litoral Norte e Agreste Baiano;1991;5,9;8,6;0,1;85,3;0;0
2918001;Jequié;Médio Rio de Contas;1991;20,9;9,9;0;68,8;0,1;0,3
2918100;Jeremoabo;Semiárido Nordeste II;1991;21,1;5;0;73,6;;0,3
2918209;Jiquiriçá;Vale do Jiquiriçá;1991;14,2;13,3;;72,6;;
2918308;Jitaúna;Médio Rio de Contas;1991;17,9;12,1;0,1;69,4;0;0,5
2918357;João Dourado;Irecê;1991;22,6;9,7;0;67,5;;0,1
2918407;Juazeiro;Sertão do São Francisco;1991;22,2;5,6;0,1;71,8;0,1;0,2
2918456;Jucuruçu;Extremo Sul;1991;11,4;4,9;0;83,2;0,1;0,4
2918506;Jussara;Irecê;1991;19,4;11,1;;68,8;;0,6
2918555;Jussari;Litoral Sul;1991;6,3;6,2;;87,2;;0,3
2918605;Jussiape;Chapada Diamantina;1991;52,5;8,2;;39,1;;0,2
2918704;Lafayette Coutinho;Vale do Jiquiriçá;1991;36,1;3,7;;59,1;;1,1
2919058;Lagedo do Tabocal;Vale do Jiquiriçá;1991;5,1;1,9;;92,8;;0,2
2918753;Lagoa Real;Sertão Produtivo;1991;72,7;13;;13,8;;0,5
2918803;Laje;Vale do Jiquiriçá;1991;23,7;15,7;;60,7;;
2918902;Lajedão;Extremo Sul;1991;24;5,2;0,1;70,7;;
2919009;Lajedinho;Piemonte do Paraguaçu;1991;2,4;8,1;;88,6;0,1;0,8
2919108;Lamarão;Sisal;1991;11,1;18,8;;70;;0,1
2919157;Lapão;Irecê;1991;19,1;8,7;0,2;72;;0,1
2919207;Lauro de Freitas;Metropolitano de Salvador;1991;14,7;14,1;;70,8;0,1;0,4
2919306;Lençóis;Chapada Diamantina;1991;10,8;7,2;0,1;81,7;;0,3
2919405;Licínio de Almeida;Sudoeste Baiano;1991;40,1;4,7;0,1;54,9;;0,3
2919504;Livramento de N. Senhora;Sertão Produtivo;1991;46,7;10;;43,1;;0,2
2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;1991;;;;;;
2919603;Macajuba;Piemonte do Paraguaçu;1991;21,4;7,8;;70,6;;0,2
2919702;Macarani;Médio Sudoeste da Bahia;1991;32,8;6,7;1,2;59,2;;0,2
2919801;Macaúbas;Bacia do Paramirim;1991;40,5;6,7;;52,5;0;0,3
2919900;Macururé;Itaparica;1991;8,2;1,7;;89,5;;0,7
2919926;Madre de Deus;Metropolitano de Salvador;1991;12,4;5,5;0,1;81,7;0,1;0,2
2919959;Maetinga;Sudoeste Baiano;1991;34,2;4;;61,4;;0,4
2920007;Maiquinique;Médio Sudoeste da Bahia;1991;40,4;6,3;;52,5;;0,8
2920106;Mairi;Bacia do Jacuípe;1991;27,3;6,7;0,1;65,4;;0,6
2920205;Malhada;Velho Chico;1991;12,2;12,2;;75,5;;0
2920304;Malhada de Pedras;Sertão Produtivo;1991;34,9;2,8;;61,5;;0,8
2920403;Manoel Vitorino;Médio Rio de Contas;1991;39,3;5,4;;55;;0,3
2920452;Mansidão;Bacia do Rio Grande;1991;3,9;3,4;;92,7;;0
2920502;Maracás;Vale do Jiquiriçá;1991;20,2;5,6;;73,9;0,1;0,2
2920601;Maragogipe;Recôncavo;1991;12,4;12;0;74,5;;1
2920700;Maraú;Litoral Sul;1991;9;9;;81,6;0;0,4
2920809;Marcionílio Souza;Chapada Diamantina;1991;17,4;14,5;0;67,1;;1
2920908;Mascote;Litoral Sul;1991;5,6;4,9;0;88,5;0,1;1
2921005;Mata de São João;Metropolitano de Salvador;1991;6,8;13,1;0,3;79,3;0,2;0,3
2921054;Matina;Velho Chico;1991;32,4;17,7;0;49,9;;
2921104;Medeiros Neto;Extremo Sul;1991;25,7;3,6;;70,3;;0,4
