codigo_ibge;nome;latitude;longitude;lat_teste;long_teste
2900108;Abaíra;-132.488;-416.619;-1,32488E+17;-4,16619E+17
2900207;Abaré;-872.073;-391.162;-8,72073E+17;-3,91162E+17
2900306;Acajutiba;-116.575;-380.197;-1,16575E+17;-3,80197E+17
2900355;Adustina;-105.437;-381.113;-1,05437E+17;-3,81113E+17
2900405;Água Fria;-118.618;-387.639;-1,18618E+17;-3,87639E+17
2900603;Aiquara;-141.269;-398.937;-1,41269E+17;-3,98937E+17
2900702;Alagoinhas;-121.335;-384.208;-1,21335E+17;-3,84208E+17
2900801;Alcobaça;-175.195;-392.036;-1,75195E+17;-3,92036E+17
2900900;Almadina;-147.089;-396.415;-1,47089E+17;-3,96415E+17
2901007;Amargosa;-130.215;-39.602;-1,30215E+17;-3,9602E+17
2901106;Amélia Rodrigues;-123.914;-387.563;-1,23914E+17;-3,87563E+17
2901155;América Dourada;-114.429;-41.439;-1,14429E+17;-4,1439E+17
2901205;Anagé;-146.151;-411.356;-1,46151E+17;-4,11356E+17
2901304;Andaraí;-128.049;-413.297;-1,28049E+17;-4,13297E+17
2901353;Andorinha;-103.482;-398.391;-1,03482E+17;-3,98391E+17
2901403;Angical;-120.063;-447.003;-1,20063E+17;-4,47003E+17
2901502;Anguera;-121.462;-392.462;-1,21462E+17;-3,92462E+17
2901601;Antas;-103.856;-383.401;-1,03856E+17;-3,83401E+17
2901700;Antônio Cardoso;-124.335;-391.176;-1,24335E+17;-3,91176E+17
2901809;Antônio Gonçalves;-105.767;-402.785;-1,05767E+17;-4,02785E+17
2901908;Aporá;-116.577;-380.814;-1,16577E+17;-3,80814E+17
2901957;Apuarema;-138.542;-397.501;-1,38542E+17;-3,97501E+17
2902054;Araças;-12.22;-382.027;#VALOR!;-3,82027E+17
2902005;Aracatu;-14.428;-414.648;-1,4428E+16;-4,14648E+17
2902104;Araci;-113.253;-389.584;-1,13253E+17;-3,89584E+17
2902203;Aramari;-120.884;-384.969;-1,20884E+17;-3,84969E+17
2902252;Arataca;-152.651;-39.419;-1,52651E+17;-3,9419E+16
2902302;Aratuípe;-130.716;-390.038;-1,30716E+17;-3,90038E+17
2902401;Aurelino Leal;-14.321;-39.329;-1,4321E+16;-3,9329E+16
2902500;Baianópolis;-123.016;-445.388;-1,23016E+17;-4,45388E+17
2902609;Baixa Grande;-119.519;-40.169;-1,19519E+17;-4,0169E+16
2902658;Banzaê;-105.788;-386.212;-1,05788E+17;-3,86212E+17
2902708;Barra;-110.859;-431.459;-1,10859E+17;-4,31459E+17
2902807;Barra da Estiva;-136.237;-413.347;-1,36237E+17;-4,13347E+17
2902906;Barra do Choça;-148.654;-405.791;-1,48654E+17;-4,05791E+17
2903003;Barra do Mendes;-11.81;-42.059;#VALOR!;-4,2059E+16
2903102;Barra do Rocha;-14.2;-395.991;#VALOR!;-3,95991E+17
2903201;Barreiras;-121.439;-449.968;-1,21439E+17;-4,49968E+17
2903235;Barro Alto;-117.605;-419.054;-1,17605E+17;-4,19054E+17
2903300;Barro Preto;-147.948;-39.476;-1,47948E+17;-3,9476E+16
2903276;Barrocas;-115.272;-390.776;-1,15272E+17;-3,90776E+17
2903409;Belmonte;-158.608;-388.758;-1,58608E+17;-3,88758E+17
2903508;Belo Campo;-150.334;-412.652;-1,50334E+17;-4,12652E+17
2903607;Biritinga;-116.072;-388.051;-1,16072E+17;-3,88051E+17
2903706;Boa Nova;-143.598;-402.064;-1,43598E+17;-4,02064E+17
2903805;Boa Vista do Tupim;-126.498;-406.064;-1,26498E+17;-4,06064E+17
2903904;Bom Jesus da Lapa;-132.506;-434.108;-1,32506E+17;-4,34108E+17
2903953;Bom Jesus da Serra;-143.663;-405.126;-1,43663E+17;-4,05126E+17
2904001;Boninal;-127.069;-418.286;-1,27069E+17;-4,18286E+17
2904050;Bonito;-119.668;-412.647;-1,19668E+17;-4,12647E+17
2904100;Boquira;-128.205;-427.324;-1,28205E+17;-4,27324E+17
2904209;Botuporã;-133.772;-425.163;-1,33772E+17;-4,25163E+17
2904308;Brejões;-131.039;-397.988;-1,31039E+17;-3,97988E+17
2904407;Brejolândia;-124.815;-439.679;-1,24815E+17;-4,39679E+17
2904506;Brotas de Macaúbas;-119.915;-426.326;-1,19915E+17;-4,26326E+17
2904605;Brumado;-142.021;-416.696;-1,42021E+17;-4,16696E+17
2904704;Buerarema;-149.595;-393.028;-1,49595E+17;-3,93028E+17
2904753;Buritirama;-107.171;-436.302;-1,07171E+17;-4,36302E+17
2904803;Caatiba;-149.699;-404.092;-1,49699E+17;-4,04092E+17
2904852;Cabaceiras do Paraguaçu;-125.317;-391.902;-1,25317E+17;-3,91902E+17
2904902;Cachoeira;-125.994;-389.587;-1,25994E+17;-3,89587E+17
2905008;Caculé;-145.003;-422.229;-1,45003E+17;-4,22229E+17
2905107;Caém;-110.677;-40.432;-1,10677E+17;-4,0432E+16
2905156;Caetanos;-143.347;-409.175;-1,43347E+17;-4,09175E+17
2905206;Caetité;-140.684;-424.861;-1,40684E+17;-4,24861E+17
2905305;Cafarnaum;-116.914;-414.688;-1,16914E+17;-4,14688E+17
2905404;Cairu;-134.904;-390.465;-1,34904E+17;-3,90465E+17
2905503;Caldeirão Grande;-110.208;-402.956;-1,10208E+17;-4,02956E+17
2905602;Camacan;-154.142;-394.919;-1,54142E+17;-3,94919E+17
2905701;Camaçari;-126.996;-383.263;-1,26996E+17;-3,83263E+17
2905800;Camamu;-139.398;-391.071;-1,39398E+17;-3,91071E+17
2905909;Campo Alegre de Lourdes;-952.221;-430.126;-9,52221E+17;-4,30126E+17
2906006;Campo Formoso;-105.105;-40.32;-1,05105E+17;
2906105;Canápolis;-130.725;-44.201;-1,30725E+17;-4,4201E+16
2906204;Canarana;-116.858;-417.677;-1,16858E+17;-4,17677E+17
2906303;Canavieiras;-156.722;-389.536;-1,56722E+17;-3,89536E+17
2906402;Candeal;-118.049;-391.203;-1,18049E+17;-3,91203E+17
2906501;Candeias;-126.716;-385.472;-1,26716E+17;-3,85472E+17
2906600;Candiba;-144.097;-428.667;-1,44097E+17;-4,28667E+17
2906709;Cândido Sales;-154.993;-412.414;-1,54993E+17;-4,12414E+17
2906808;Cansanção;-106.647;-394.944;-1,06647E+17;-3,94944E+17
2906824;Canudos;-990.014;-391.471;-9,90014E+17;-3,91471E+17
2906857;Capela do Alto Alegre;-116.658;-398.349;-1,16658E+17;-3,98349E+17
2906873;Capim Grosso;-113.797;-400.089;-1,13797E+17;-4,00089E+17
2906899;Caraíbas;-147.177;-412.603;-1,47177E+17;-4,12603E+17
2906907;Caravelas;-177.268;-392.597;-1,77268E+17;-3,92597E+17
2907004;Cardeal da Silva;-119.472;-379.469;-1,19472E+17;-3,79469E+17
2907103;Carinhanha;-142.985;-437.724;-1,42985E+17;-4,37724E+17
2907202;Casa Nova;-916.408;-40.974;-9,16408E+17;-4,0974E+16
2907301;Castro Alves;-127.579;-394.248;-1,27579E+17;-3,94248E+17
2907400;Catolândia;-12.31;-448.648;#VALOR!;-4,48648E+17
2907509;Catu;-123.513;-383.791;-1,23513E+17;-3,83791E+17
2907558;Caturama;-133.239;-422.904;-1,33239E+17;-4,22904E+17
2907608;Central;-111.376;-421.116;-1,11376E+17;-4,21116E+17
2907707;Chorrochó;-89.695;-390.979;-8,9695E+16;-3,90979E+17
2907806;Cícero Dantas;-105.897;-383.794;-1,05897E+17;-3,83794E+17
2907905;Cipó;-111.032;-385.179;-1,11032E+17;-3,85179E+17
2908002;Coaraci;-14.637;-395.556;-1,4637E+16;-3,95556E+17
2908101;Cocos;-141.814;-445.352;-1,41814E+17;-4,45352E+17
2908200;Conceição da Feira;-125.078;-389.978;-1,25078E+17;-3,89978E+17
2908309;Conceição do Almeida;-127.836;-391.715;-1,27836E+17;-3,91715E+17
2908408;Conceição do Coité;-11.56;-392.808;#VALOR!;-3,92808E+17
2908507;Conceição do Jacuípe;-123.268;-387.684;-1,23268E+17;-3,87684E+17
2908606;Conde;-118.179;-376.131;-1,18179E+17;-3,76131E+17
2908705;Condeúba;-149.022;-419.718;-1,49022E+17;-4,19718E+17
2908804;Contendas do Sincorá;-137.537;-41.048;-1,37537E+17;-4,1048E+16
2908903;Coração de Maria;-122.333;-387.487;-1,22333E+17;-3,87487E+17
2909000;Cordeiros;-150.356;-419.308;-1,50356E+17;-4,19308E+17
2909109;Coribe;-138.232;-444.586;-1,38232E+17;-4,44586E+17
2909208;Coronel João Sá;-102.847;-379.198;-1,02847E+17;-3,79198E+17
2909307;Correntina;-133.477;-446.333;-1,33477E+17;-4,46333E+17
2909406;Cotegipe;-120.228;-442.566;-1,20228E+17;-4,42566E+17
2909505;Cravolândia;-133.531;-398.031;-1,33531E+17;-3,98031E+17
2909604;Crisópolis;-115.059;-381.515;-1,15059E+17;-3,81515E+17
2909703;Cristópolis;-122.249;-444.214;-1,22249E+17;-4,44214E+17
2909802;Cruz das Almas;-126.675;-391.008;-1,26675E+17;-3,91008E+17
2909901;Curaçá;-898.458;-398.997;-8,98458E+17;-3,98997E+17
2910008;Dário Meira;-144.229;-399.031;-1,44229E+17;-3,99031E+17
2910057;Dias d'Ávila;-126.187;-382.926;-1,26187E+17;-3,82926E+17
2910107;Dom Basílio;-137.565;-417.677;-1,37565E+17;-4,17677E+17
2910206;Dom Macedo Costa;-129.016;-391.923;-1,29016E+17;-3,91923E+17
2910305;Elísio Medrado;-129.417;-395.191;-1,29417E+17;-3,95191E+17
2910404;Encruzilhada;-155.302;-409.124;-1,55302E+17;-4,09124E+17
2910503;Entre Rios;-119.392;-380.871;-1,19392E+17;-3,80871E+17
2900504;Érico Cardoso;-134.215;-421.352;-1,34215E+17;-4,21352E+17
2910602;Esplanada;-117.942;-379.432;-1,17942E+17;-3,79432E+17
2910701;Euclides da Cunha;-105.078;-390.153;-1,05078E+17;-3,90153E+17
2910727;Eunápolis;-163.715;-395.821;-1,63715E+17;-3,95821E+17
2910750;Fátima;-10.616;-382.239;-1,0616E+16;-3,82239E+17
2910776;Feira da Mata;-142.044;-442.744;-1,42044E+17;-4,42744E+17
2910800;Feira de Santana;-122.664;-389.663;-1,22664E+17;-3,89663E+17
2910859;Filadélfia;-107.405;-401.437;-1,07405E+17;-4,01437E+17
2910909;Firmino Alves;-149.823;-399.269;-1,49823E+17;-3,99269E+17
2911006;Floresta Azul;-148.629;-396.579;-1,48629E+17;-3,96579E+17
2911105;Formosa do Rio Preto;-110.328;-45.193;-1,10328E+17;-4,5193E+16
2911204;Gandu;-137.441;-394.747;-1,37441E+17;-3,94747E+17
2911253;Gavião;-114.688;-397.757;-1,14688E+17;-3,97757E+17
2911303;Gentio do Ouro;-114.342;-425.077;-1,14342E+17;-4,25077E+17
2911402;Glória;-934.382;-382.544;-9,34382E+17;-3,82544E+17
2911501;Gongogi;-143.195;-39.469;-1,43195E+17;-3,9469E+17
2911600;Governador Mangabeira;-125.994;-390.412;-1,25994E+17;-3,90412E+17
2911659;Guajeru;-145.467;-419.381;-1,45467E+17;-4,19381E+17
2911709;Guanambi;-142.231;-427.799;-1,42231E+17;-4,27799E+17
2911808;Guaratinga;-165.833;-397.847;-1,65833E+17;-3,97847E+17
2911857;Heliópolis;-106.825;-382.907;-1,06825E+17;-3,82907E+17
2911907;Iaçu;-127.666;-402.056;-1,27666E+17;-4,02056E+17
2912004;Ibiassucê;-142.711;-42.257;-1,42711E+17;-4,2257E+16
2912103;Ibicaraí;-148.579;-395.914;-1,48579E+17;-3,95914E+17
2912202;Ibicoara;-134.059;-41.284;-1,34059E+17;-4,1284E+17
2912301;Ibicuí;-14.845;-399.879;-1,4845E+16;-3,99879E+17
2912400;Ibipeba;-116.438;-420.195;-1,16438E+17;-4,20195E+17
2912509;Ibipitanga;-128.804;-424.856;-1,28804E+17;-4,24856E+17
2912608;Ibiquera;-126.444;-409.338;-1,26444E+17;-4,09338E+17
2912707;Ibirapitanga;-141.649;-393.787;-1,41649E+17;-3,93787E+17
2912806;Ibirapuã;-176.832;-401.129;-1,76832E+17;-4,01129E+17
2912905;Ibirataia;-140.643;-396.459;-1,40643E+17;-3,96459E+17
2913002;Ibitiara;-126.502;-422.179;-1,26502E+17;-4,22179E+17
2913101;Ibititá;-115.414;-419.748;-1,15414E+17;-4,19748E+17
2913200;Ibotirama;-121.779;-432.167;-1,21779E+17;-4,32167E+17
2913309;Ichu;-117.431;-391.905;-1,17431E+17;-3,91905E+17
2913408;Igaporã;-13.774;-427.155;-1,3774E+16;-4,27155E+17
2913457;Igrapiúna;-138.295;-391.361;-1,38295E+17;-3,91361E+17
2913507;Iguaí;-147.528;-400.894;-1,47528E+17;-4,00894E+17
2913606;Ilhéus;-14.793;-39.046;-1,4793E+16;-3,9046E+16
2913705;Inhambupe;-11.781;-38.355;-1,1781E+16;-3,8355E+16
2913804;Ipecaetá;-123.028;-393.069;-1,23028E+17;-3,93069E+17
2913903;Ipiaú;-141.226;-397.353;-1,41226E+17;-3,97353E+17
2914000;Ipirá;-121.561;-397.359;-1,21561E+17;-3,97359E+17
2914109;Ipupiara;-118.219;-426.179;-1,18219E+17;-4,26179E+17
2914208;Irajuba;-132.563;-400.848;-1,32563E+17;-4,00848E+17
2914307;Iramaia;-132.902;-409.595;-1,32902E+17;-4,09595E+17
2914406;Iraquara;-122.429;-416.155;-1,22429E+17;-4,16155E+17
2914505;Irará;-120.504;-387.631;-1,20504E+17;-3,87631E+17
2914604;Irecê;-113.033;-418.535;-1,13033E+17;-4,18535E+17
2914653;Itabela;-165.732;-395.593;-1,65732E+17;-3,95593E+17
2914703;Itaberaba;-125.242;-403.059;-1,25242E+17;-4,03059E+17
2914802;Itabuna;-147.876;-392.781;-1,47876E+17;-3,92781E+17
2914901;Itacaré;-142.784;-389.959;-1,42784E+17;-3,89959E+17
2915007;Itaeté;-129.831;-409.677;-1,29831E+17;-4,09677E+17
2915106;Itagi;-141.615;-400.131;-1,41615E+17;-4,00131E+17
2915205;Itagibá;-142.782;-398.449;-1,42782E+17;-3,98449E+17
2915304;Itagimirim;-160.819;-396.133;-1,60819E+17;-3,96133E+17
2915353;Itaguaçu da Bahia;-110.147;-423.997;-1,10147E+17;-4,23997E+17
2915403;Itaju do Colônia;-151.366;-397.283;-1,51366E+17;-3,97283E+17
2915502;Itajuípe;-146.788;-393.698;-1,46788E+17;-3,93698E+17
2915601;Itamaraju;-170.378;-395.386;-1,70378E+17;-3,95386E+17
2915700;Itamari;-137.782;-39.683;-1,37782E+17;-3,9683E+16
2915809;Itambé;-152.429;-40.63;-1,52429E+17;#VALOR!
2915908;Itanagra;-122.614;-380.436;-1,22614E+17;-3,80436E+17
2916005;Itanhém;-171.642;-403.321;-1,71642E+17;-4,03321E+17
2916104;Itaparica;-128.932;-38.68;-1,28932E+17;#VALOR!
2916203;Itapé;-148.876;-394.239;-1,48876E+17;-3,94239E+17
2916302;Itapebi;-159.551;-395.329;-1,59551E+17;-3,95329E+17
2916401;Itapetinga;-152.475;-402.482;-1,52475E+17;-4,02482E+17
2916500;Itapicuru;-113.088;-382.262;-1,13088E+17;-3,82262E+17
2916609;Itapitanga;-144.139;-395.657;-1,44139E+17;-3,95657E+17
2916708;Itaquara;-134.459;-399.378;-1,34459E+17;-3,99378E+17
2916807;Itarantim;-156.528;-40.065;-1,56528E+17;-4,0065E+16
2916856;Itatim;-127.099;-396.952;-1,27099E+17;-3,96952E+17
2916906;Itiruçu;-13.529;-401.472;-1,3529E+16;-4,01472E+17
2917003;Itiúba;-106.948;-398.446;-1,06948E+17;-3,98446E+17
2917102;Itororó;-15.11;-400.684;#VALOR!;-4,00684E+17
2917201;Ituaçu;-138.107;-413.003;-1,38107E+17;-4,13003E+17
2917300;Ituberá;-137.249;-391.481;-1,37249E+17;-3,91481E+17
2917334;Iuiú;-144.054;-435.595;-1,44054E+17;-4,35595E+17
2917359;Jaborandi;-136.071;-444.255;-1,36071E+17;-4,44255E+17
2917409;Jacaraci;-148.541;-424.329;-1,48541E+17;-4,24329E+17
2917508;Jacobina;-111.812;-405.117;-1,11812E+17;-4,05117E+17
2917607;Jaguaquara;-135.248;-39.964;-1,35248E+17;-3,9964E+16
2917706;Jaguarari;-102.569;-401.999;-1,02569E+17;-4,01999E+17
2917805;Jaguaripe;-131.109;-388.939;-1,31109E+17;-3,88939E+17
