;Ano; PopTotal ;PopMasc;PopFem;TBN;TBM;EVNAmbos;EVNMasc;EVNFem;TFT;Pop0a14;Pop15a64;Pop65Mais;Pop15a59;Pop60Mais
1;2010; 14.302.571 ;7022509;7280062;15,42;7,01;71,92;67,72;76,43;1,73;26,1;66,7;7,2;63,62;10,29
2;2011; 14.372.994 ;7049709;7323285;15,26;6,98;72,2;67,95;76,75;1,72;25,5;67,1;7,3;63,98;10,51
3;2012; 14.441.531 ;7075846;7365685;14,94;6,98;72,47;68,17;77,06;1,69;24,9;67,6;7,5;64,34;10,75
4;2013; 14.505.033 ;7099339;7405694;14,39;6,99;72,73;68,4;77,36;1,63;24,3;68;7,7;64,69;11
5;2014; 14.565.807 ;7121398;7444409;14,43;7,01;72,99;68,62;77,65;1,65;23,7;68,4;7,9;65,01;11,27
6;2015; 14.629.018 ;7144691;7484327;14,61;7,04;73,23;68,83;77,92;1,68;23,2;68,7;8,1;65,24;11,56
7;2016; 14.689.684 ;7166690;7522994;13,98;7,07;73,47;69,04;78,18;1,62;22,7;69;8,3;65,4;11,87
8;2017; 14.749.868 ;7188472;7561396;14,45;7,11;73,71;69,25;78,43;1,69;22,3;69,2;8,5;65,48;12,2
9;2018; 14.812.617 ;7211608;7601009;14,25;7,15;73,93;69,46;78,67;1,69;21,9;69,3;8,7;65,52;12,55
10;2019; 14.872.858 ;7233509;7639349;14,05;7,2;74,15;69,66;78,9;1,68;21,6;69,5;9;65,53;12,9
11;2020; 14.930.424 ;7254101;7676323;13,84;7,25;74,36;69,86;79,11;1,68;21,2;69,5;9,2;65,5;13,27
12;2021; 14.985.070 ;7273278;7711792;13,62;7,31;74,57;70,05;79,32;1,67;20,9;69,6;9,5;65,42;13,65
13;2022; 15.036.517 ;7290913;7745604;13,39;7,38;74,76;70,24;79,52;1,67;20,7;69,5;9,8;65,3;14,04
14;2023; 15.084.600 ;7306926;7777674;13,17;7,45;74,96;70,43;79,7;1,66;20,4;69,5;10,1;65,16;14,45
15;2024; 15.129.225 ;7321284;7807941;12,95;7,53;75,14;70,61;79,88;1,66;20,1;69,4;10,4;65;14,86
16;2025; 15.170.253 ;7333933;7836320;12,73;7,62;75,32;70,79;80,05;1,66;19,9;69,3;10,8;64,79;15,3
17;2026; 15.207.525 ;7344806;7862719;12,51;7,71;75,49;70,97;80,21;1,65;19,7;69,2;11,1;64,56;15,75
18;2027; 15.240.909 ;7353839;7887070;12,3;7,81;75,66;71,14;80,36;1,65;19,5;69,1;11,4;64,3;16,22
19;2028; 15.270.303 ;7361000;7909303;12,08;7,92;75,82;71,31;80,51;1,65;19,3;68,9;11,8;64,01;16,7
20;2029; 15.295.642 ;7366269;7929373;11,88;8,03;75,98;71,48;80,65;1,64;19,1;68,7;12,2;63,71;17,18
21;2030; 15.316.952 ;7369659;7947293;11,68;8,15;76,13;71,64;80,78;1,64;18,9;68,6;12,6;63,45;17,66
22;2031; 15.333.879 ;7370991;7962888;11,49;8,28;76,28;71,8;80,9;1,64;18,7;68,4;13;63,19;18,13
23;2032; 15.346.028 ;7370061;7975967;11,31;8,41;76,41;71,96;81,02;1,64;18,5;68,2;13,4;62,95;18,6
24;2033; 15.353.402 ;7366879;7986523;11,13;8,55;76,55;72,11;81,13;1,64;18,2;68;13,8;62,73;19,07
25;2034; 15.355.998 ;7361457;7994541;10,97;8,69;76,68;72,26;81,23;1,64;17,9;67,8;14,2;62,49;19,57
26;2035; 15.353.814 ;7353803;8000011;10,81;8,85;76,81;72,4;81,33;1,63;17,7;67,7;14,7;62,2;20,11
27;2036; 15.346.869 ;7343940;8002929;10,66;9;76,93;72,55;81,43;1,63;17,4;67,5;15,1;61,87;20,68
28;2037; 15.335.177 ;7331886;8003291;10,52;9,17;77,05;72,69;81,52;1,63;17,2;67,3;15,5;61,5;21,29
29;2038; 15.318.735 ;7317652;8001083;10,38;9,34;77,16;72,82;81,6;1,63;17;67,1;15,9;61,1;21,93
30;2039; 15.297.524 ;7301245;7996279;10,25;9,52;77,27;72,96;81,68;1,63;16,8;66,9;16,3;60,66;22,59
31;2040; 15.271.580 ;7282689;7988891;10,12;9,7;77,37;73,09;81,76;1,63;16,5;66,6;16,8;60,2;23,27
32;2041; 15.241.004 ;7262041;7978963;10,01;9,89;77,48;73,22;81,83;1,63;16,3;66,3;17,3;59,72;23,96
33;2042; 15.205.888 ;7239362;7966526;9,91;10,09;77,58;73,34;81,9;1,63;16,1;66;17,9;59,21;24,67
34;2043; 15.166.238 ;7214668;7951570;9,81;10,29;77,68;73,46;81,96;1,63;15,9;65,6;18,4;58,69;25,38
35;2044; 15.122.024 ;7187956;7934068;9,71;10,49;77,77;73,58;82,02;1,63;15,8;65,2;19;58,18;26,07
36;2045; 15.073.291 ;7159256;7914035;9,62;10,7;77,87;73,7;82,08;1,63;15,6;64,8;19,6;57,68;26,74
37;2046; 15.020.105 ;7128614;7891491;9,54;10,92;77,95;73,81;82,13;1,62;15,4;64,3;20,2;57,22;27,37
38;2047; 14.962.522 ;7096070;7866452;9,46;11,14;78,03;73,92;82,18;1,62;15,3;63,9;20,9;56,78;27,96
39;2048; 14.900.565 ;7061642;7838923;9,39;11,37;78,11;74,03;82,23;1,62;15,1;63,4;21,5;56,36;28,52
40;2049; 14.834.243 ;7025342;7808901;9,32;11,6;78,19;74,13;82,28;1,62;15;62,9;22,1;55,96;29,05
41;2050; 14.763.590 ;6987193;7776397;9,25;11,83;78,27;74,24;82,32;1,62;14,9;62,4;22,7;55,56;29,57
42;2051; 14.688.641 ;6947213;7741428;9,18;12,07;78,34;74,34;82,36;1,62;14,7;62;23,3;55,17;30,09
43;2052; 14.609.436 ;6905426;7704010;9,11;12,3;78,41;74,43;82,4;1,62;14,6;61,6;23,8;54,78;30,59
44;2053; 14.525.993 ;6861847;7664146;9,04;12,55;78,48;74,53;82,44;1,62;14,5;61,2;24,3;54,39;31,08
45;2054; 14.438.328 ;6816485;7621843;8,98;12,79;78,54;74,62;82,47;1,62;14,4;60,8;24,7;53,99;31,58
46;2055; 14.346.461 ;6769359;7577102;8,91;13,04;78,61;74,71;82,5;1,62;14,3;60,5;25,2;53,59;32,07
47;2056; 14.250.434 ;6720496;7529938;8,84;13,29;78,67;74,8;82,53;1,62;14,2;60,1;25,6;53,19;32,56
48;2057; 14.150.307 ;6669933;7480374;8,78;13,55;78,73;74,88;82,56;1,62;14,2;59,8;26;52,77;33,07
49;2058; 14.046.125 ;6617708;7428417;8,71;13,8;78,79;74,97;82,59;1,62;14,1;59,5;26,5;52,35;33,57
50;2059; 13.937.968 ;6563854;7374114;8,65;14,06;78,84;75,05;82,61;1,62;14;59,1;26,9;51,95;34,04
51;2060; 13.825.958 ;6508424;7317534;8,58;14,31;78,89;75,13;82,64;1,62;13,9;58,8;27,3;51,58;34,48
